cluster_id,first_time_utc,last_time_utc,event_count,distinct_mmsi,origin_center_lat,origin_center_lon,dest_center_lat,dest_center_lon
1,2026-01-12T06:26:09.693439+00:00,2026-01-12T16:44:10.439716+00:00,3,1,54.300609,9.714321,54.384442,18.664151
2,2026-01-12T06:27:27.684314+00:00,2026-01-14T13:25:45.545026+00:00,1105,1,59.441987,24.767704,48.387687,-4.498473
3,2026-01-12T06:29:05.048512+00:00,2026-01-12T06:29:54.344633+00:00,2,1,49.483977,0.153868,25.290650,55.229117
4,2026-01-12T06:29:37.080568+00:00,2026-01-12T06:30:07.515656+00:00,2,1,51.971815,3.701616,53.520970,-3.240358
5,2026-01-12T06:35:15.849047+00:00,2026-01-12T06:36:03.218489+00:00,2,1,49.483946,0.153972,25.290183,55.250200
6,2026-01-12T06:39:03.078014+00:00,2026-01-13T09:52:01.293327+00:00,26,1,52.933353,5.691777,53.442421,6.853630
7,2026-01-12T06:40:11.958107+00:00,2026-01-12T06:41:13.626198+00:00,2,1,49.483948,0.153965,25.287283,55.266683
8,2026-01-12T06:41:12.044360+00:00,2026-01-14T09:35:50.490440+00:00,7,3,44.653695,37.870954,44.679481,38.351712
9,2026-01-12T06:41:33.461663+00:00,2026-01-12T06:41:33.461663+00:00,1,1,52.383757,4.950367,52.196098,5.008462
10,2026-01-12T06:46:52.907456+00:00,2026-01-12T06:46:52.907456+00:00,1,1,44.555182,37.970155,44.770467,37.723677
11,2026-01-12T06:49:04.768785+00:00,2026-01-12T06:50:04.771097+00:00,2,1,59.162835,5.865018,0.983333,5.198362
12,2026-01-12T06:49:32.258873+00:00,2026-01-12T06:54:45.897361+00:00,6,1,52.851359,5.676407,53.450152,6.829168
13,2026-01-12T06:50:51.882162+00:00,2026-01-12T09:03:15.139346+00:00,6,1,49.483954,0.153909,25.263894,55.275011
14,2026-01-12T06:51:42.169066+00:00,2026-01-12T06:55:35.899695+00:00,2,1,52.401564,4.833179,-89.654397,177.589663
15,2026-01-12T06:57:39.060784+00:00,2026-01-14T06:04:37.815846+00:00,34,7,44.684293,37.835801,44.679402,38.344228
16,2026-01-12T06:58:24.097270+00:00,2026-01-14T08:25:13.438868+00:00,8,3,13.698340,100.583584,13.648374,100.682352
17,2026-01-12T06:59:24.070372+00:00,2026-01-14T05:01:12.720020+00:00,4,3,13.697299,100.584268,13.653068,100.676065
18,2026-01-12T07:07:24.315009+00:00,2026-01-12T19:57:15.486698+00:00,4,1,51.950176,4.068507,54.775112,12.659285
19,2026-01-12T07:10:15.049776+00:00,2026-01-12T07:16:14.541933+00:00,2,1,52.395275,4.886561,-57.705208,0.006900
20,2026-01-12T07:10:23.946189+00:00,2026-01-13T02:12:07.519992+00:00,6,1,-20.326684,118.576543,-19.832651,118.561927
21,2026-01-12T07:18:17.716138+00:00,2026-01-12T08:33:07.080533+00:00,2,1,29.643332,-95.133882,29.613016,-95.012732
22,2026-01-12T07:20:00.138977+00:00,2026-01-12T07:20:08.685847+00:00,2,1,51.180757,4.732837,52.397772,4.883343
23,2026-01-12T07:20:39.087581+00:00,2026-01-13T13:16:32.662195+00:00,4,2,52.034950,4.408166,52.700147,5.290607
24,2026-01-12T07:28:20.764821+00:00,2026-01-13T09:43:40.526468+00:00,23,9,44.729036,37.841995,44.552990,37.967276
25,2026-01-12T07:28:35.144543+00:00,2026-01-12T07:29:10.624421+00:00,2,1,52.385018,4.894579,52.412707,5.160848
26,2026-01-12T07:29:41.904360+00:00,2026-01-12T17:34:57.074028+00:00,4,1,37.807163,23.692733,37.291685,26.753062
27,2026-01-12T07:35:18.667101+00:00,2026-01-12T07:36:57.664955+00:00,2,1,51.342172,3.212828,51.451293,0.424902
28,2026-01-12T07:36:59.039321+00:00,2026-01-12T07:39:57.339970+00:00,2,1,51.342173,3.212828,51.598487,1.983365
29,2026-01-12T07:43:48.667833+00:00,2026-01-12T09:34:14.670272+00:00,7,3,44.674166,37.837665,44.714225,37.836370
30,2026-01-12T07:45:56.726539+00:00,2026-01-13T10:02:07.201591+00:00,5,4,44.783791,37.750951,44.549749,37.967435
31,2026-01-12T07:48:07.699246+00:00,2026-01-14T07:02:12.850957+00:00,2,2,13.657256,100.668795,13.698411,100.583912
32,2026-01-12T07:48:31.805430+00:00,2026-01-12T07:49:21.221293+00:00,2,1,37.914583,23.611776,37.324650,26.546277
33,2026-01-12T07:51:18.924800+00:00,2026-01-12T07:51:18.924800+00:00,1,1,44.551790,37.964300,45.955973,37.028757
34,2026-01-12T07:53:15.465389+00:00,2026-01-12T07:54:15.501426+00:00,2,1,52.385703,4.890562,-48.976645,0.006900
35,2026-01-12T07:57:23.631774+00:00,2026-01-12T07:57:52.499711+00:00,2,1,53.443993,-3.007663,53.344737,-6.212843
36,2026-01-12T07:59:54.428965+00:00,2026-01-12T08:00:48.457537+00:00,2,1,54.155818,12.108829,57.592040,19.976925
37,2026-01-12T08:07:12.894683+00:00,2026-01-12T09:04:12.742787+00:00,23,1,-26.616307,153.253072,57.686177,-4.176584
38,2026-01-12T08:10:10.652227+00:00,2026-01-12T08:10:10.652227+00:00,1,1,53.446862,6.835658,52.951000,5.689895
39,2026-01-12T08:13:27.027833+00:00,2026-01-12T08:15:14.231244+00:00,2,1,51.950175,4.068501,54.328320,9.723362
40,2026-01-12T08:14:43.796696+00:00,2026-01-12T08:15:57.719274+00:00,2,1,51.342178,3.212827,51.495770,0.474267
41,2026-01-12T08:14:45.007352+00:00,2026-01-13T10:07:02.918995+00:00,7,1,52.966146,5.698887,53.457844,6.838756
42,2026-01-12T08:19:52.053784+00:00,2026-01-13T10:11:32.975369+00:00,10,1,52.966662,5.698744,53.463459,6.846326
