received_at,ship_id,prev_pr_timestamp,pr_timestamp,distance_m,speed_mps,prev_lat,prev_lon,prev_time_utc,curr_lat,curr_lon,curr_time_utc,valid,map_url,spoofing_cluster_id,spoofing_confirmed
2026-01-13 19:15:20.841002242 +0000 UTC,2655619,38,20,15616009.1,783.54,-80.37475166666667,38.575023333333334,2026-01-13 13:43:10.660994658 +0000 UTC,59.62651666666667,19.015316666666667,2026-01-13 19:15:20.841002242 +0000 UTC,True,"https://www.google.com/maps?q=59.62651666666667,19.015316666666667",766,False
2026-01-13 19:15:22.645046331 +0000 UTC,667002373,9,57,373225.5,450.95,47.34515833333333,34.68395666666667,2026-01-13 19:01:34.996635262 +0000 UTC,44.799323333333334,37.83829333333333,2026-01-13 19:15:22.645046331 +0000 UTC,True,"https://www.google.com/maps?q=44.799323333333334,37.83829333333333",858,False
2026-01-13 19:16:18.628891194 +0000 UTC,244740135,39,18,49341.6,1275.92,52.88494333333333,5.694236666666667,2026-01-13 19:15:39.957408704 +0000 UTC,53.22623,6.166088333333334,2026-01-13 19:16:18.628891194 +0000 UTC,True,"https://www.google.com/maps?q=53.22623,6.166088333333334",857,False
2026-01-13 19:16:39.962194098 +0000 UTC,244740135,18,39,49543.8,2322.37,53.22623,6.166088333333334,2026-01-13 19:16:18.628891194 +0000 UTC,52.88302,5.693366666666666,2026-01-13 19:16:39.962194098 +0000 UTC,True,"https://www.google.com/maps?q=52.88302,5.693366666666666",857,False
2026-01-13 19:17:05.35304543 +0000 UTC,273397190,13,37,40786.4,64.95,45.16517833333333,37.87784,2026-01-13 19:06:37.373365403 +0000 UTC,44.799933333333335,37.83012166666666,2026-01-13 19:17:05.35304543 +0000 UTC,True,"https://www.google.com/maps?q=44.799933333333335,37.83012166666666",754,True
2026-01-13 19:18:49.15147445 +0000 UTC,244740135,39,49,49335.1,713.03,52.88114333333333,5.6923916666666665,2026-01-13 19:17:39.960592785 +0000 UTC,53.224518333333336,6.159846666666667,2026-01-13 19:18:49.15147445 +0000 UTC,True,"https://www.google.com/maps?q=53.224518333333336,6.159846666666667",857,False
2026-01-13 19:19:00.968162194 +0000 UTC,299999999,9,58,2248891.7,9729.17,59.44265333333333,24.76944,2026-01-13 19:15:09.818840296 +0000 UTC,48.38766666666667,-4.498533333333333,2026-01-13 19:19:00.968162194 +0000 UTC,True,"https://www.google.com/maps?q=48.38766666666667,-4.498533333333333",2,False
2026-01-13 19:19:37.531026325 +0000 UTC,273396190,32,13,21002.2,95.35,44.799949999999995,37.83342833333334,2026-01-13 19:15:57.270771896 +0000 UTC,44.89487333333333,38.063745000000004,2026-01-13 19:19:37.531026325 +0000 UTC,True,"https://www.google.com/maps?q=44.89487333333333,38.063745000000004",139,True
2026-01-13 19:21:10.752593757 +0000 UTC,299999999,58,10,2248774.3,17327.00,48.38766666666667,-4.498533333333333,2026-01-13 19:19:00.968162194 +0000 UTC,59.441900000000004,24.76777,2026-01-13 19:21:10.752593757 +0000 UTC,True,"https://www.google.com/maps?q=59.441900000000004,24.76777",2,False
2026-01-13 19:21:11.27834039 +0000 UTC,273153100,39,47,32369.3,252.38,44.895935,38.063653333333335,2026-01-13 19:19:03.022486513 +0000 UTC,45.16249833333333,37.898125,2026-01-13 19:21:11.27834039 +0000 UTC,True,"https://www.google.com/maps?q=45.16249833333333,37.898125",139,True
2026-01-13 19:23:32.39198938 +0000 UTC,314131000,47,8,39666.9,26.07,44.80314666666666,37.83511,2026-01-13 18:58:10.985419802 +0000 UTC,45.15790166666667,37.88814333333333,2026-01-13 19:23:32.39198938 +0000 UTC,True,"https://www.google.com/maps?q=45.15790166666667,37.88814333333333",859,True
2026-01-13 19:24:38.309381539 +0000 UTC,667002373,57,13,41016.5,73.82,44.799323333333334,37.83829333333333,2026-01-13 19:15:22.645046331 +0000 UTC,45.167228333333334,37.875993333333334,2026-01-13 19:24:38.309381539 +0000 UTC,True,"https://www.google.com/maps?q=45.167228333333334,37.875993333333334",754,True
2026-01-13 19:24:59.360506111 +0000 UTC,273338780,36,35,51527.1,57.34,44.715228333333336,37.78727833333333,2026-01-13 19:10:00.783341394 +0000 UTC,44.79824333333333,37.14526,2026-01-13 19:24:59.360506111 +0000 UTC,True,"https://www.google.com/maps?q=44.79824333333333,37.14526",152,True
2026-01-13 19:25:01.21565673 +0000 UTC,299999999,10,59,2248772.5,9757.63,59.441900000000004,24.76777,2026-01-13 19:21:10.752593757 +0000 UTC,48.38766666666667,-4.498500000000001,2026-01-13 19:25:01.21565673 +0000 UTC,True,"https://www.google.com/maps?q=48.38766666666667,-4.498500000000001",2,False
2026-01-13 19:25:06.894334071 +0000 UTC,241932000,59,41,30125.6,107.02,44.488475,37.640865,2026-01-13 19:20:25.409507224 +0000 UTC,44.25991833333333,37.844386666666665,2026-01-13 19:25:06.894334071 +0000 UTC,True,"https://www.google.com/maps?q=44.25991833333333,37.844386666666665",259,True
2026-01-13 19:26:40.829273617 +0000 UTC,273338780,35,17,52146.9,513.92,44.79824333333333,37.14526,2026-01-13 19:24:59.360506111 +0000 UTC,44.72917833333334,37.79856333333333,2026-01-13 19:26:40.829273617 +0000 UTC,True,"https://www.google.com/maps?q=44.72917833333334,37.79856333333333",152,True
2026-01-13 19:26:55.024564765 +0000 UTC,273153100,15,31,49170.4,361.84,45.16502666666667,37.87867000000001,2026-01-13 19:24:39.133783818 +0000 UTC,44.72640666666667,37.79933166666667,2026-01-13 19:26:55.024564765 +0000 UTC,True,"https://www.google.com/maps?q=44.72640666666667,37.79933166666667",171,True
2026-01-13 19:27:00.474774222 +0000 UTC,210017000,21,59,381180.4,3863.68,51.96118666666667,4.009663333333333,2026-01-13 19:25:21.817490932 +0000 UTC,53.859045,8.745586666666666,2026-01-13 19:27:00.474774222 +0000 UTC,True,"https://www.google.com/maps?q=53.859045,8.745586666666666",860,False
2026-01-13 19:27:09.749265579 +0000 UTC,273396190,13,45,28379.4,62.76,44.89487333333333,38.063745000000004,2026-01-13 19:19:37.531026325 +0000 UTC,44.72310166666667,37.797673333333336,2026-01-13 19:27:09.749265579 +0000 UTC,True,"https://www.google.com/maps?q=44.72310166666667,37.797673333333336",190,True
2026-01-13 19:27:11.097354033 +0000 UTC,299999999,59,10,2248793.2,17314.17,48.38766666666667,-4.498500000000001,2026-01-13 19:25:01.21565673 +0000 UTC,59.442051666666664,24.76805166666667,2026-01-13 19:27:11.097354033 +0000 UTC,True,"https://www.google.com/maps?q=59.442051666666664,24.76805166666667",2,False
2026-01-13 19:27:50.303474964 +0000 UTC,244740135,48,50,50156.9,818.55,53.22182,6.137741666666667,2026-01-13 19:26:49.028262401 +0000 UTC,52.86299333333333,5.683113333333334,2026-01-13 19:27:50.303474964 +0000 UTC,True,"https://www.google.com/maps?q=52.86299333333333,5.683113333333334",861,False
2026-01-13 19:28:20.644398081 +0000 UTC,210017000,59,20,381180.4,4754.67,53.859045,8.745586666666666,2026-01-13 19:27:00.474774222 +0000 UTC,51.96118666666667,4.009663333333333,2026-01-13 19:28:20.644398081 +0000 UTC,True,"https://www.google.com/maps?q=51.96118666666667,4.009663333333333",860,False
2026-01-13 19:31:01.637836077 +0000 UTC,299999999,18,59,2248755.0,82568.48,59.441786666666665,24.76753,2026-01-13 19:30:34.402805144 +0000 UTC,48.387683333333335,-4.498516666666666,2026-01-13 19:31:01.637836077 +0000 UTC,True,"https://www.google.com/maps?q=48.387683333333335,-4.498516666666666",2,False
2026-01-13 19:32:07.880729062 +0000 UTC,244740135,50,7,49981.8,2842.38,52.85859333333334,5.68053,2026-01-13 19:31:50.296220748 +0000 UTC,53.221061666666664,6.122653333333333,2026-01-13 19:32:07.880729062 +0000 UTC,True,"https://www.google.com/maps?q=53.221061666666664,6.122653333333333",862,False
2026-01-13 19:32:45.710478797 +0000 UTC,273396190,54,22,10190.2,48.98,44.72826333333333,37.77583333333334,2026-01-13 19:29:17.666402357 +0000 UTC,44.68028833333334,37.885691666666666,2026-01-13 19:32:45.710478797 +0000 UTC,True,"https://www.google.com/maps?q=44.68028833333334,37.885691666666666",143,True
