cluster_id,first_time_utc,last_time_utc,event_count,distinct_mmsi,origin_center_lat,origin_center_lon,dest_center_lat,dest_center_lon
48,2025-12-15T01:59:40.239777+00:00,2025-12-15T02:02:40.176549+00:00,2,1,22.310424,114.159853,57.262958,-165.459827
49,2025-12-15T02:01:32.242222+00:00,2025-12-15T02:01:40.480844+00:00,2,1,46.154737,-1.225045,39.302578,-9.881495
50,2025-12-15T02:01:35.719577+00:00,2025-12-18T03:48:29.476346+00:00,104,9,44.865014,38.041728,45.166499,37.882994
51,2025-12-15T02:05:37.586942+00:00,2025-12-15T02:06:02.214004+00:00,2,1,1.256447,103.782656,-16.208025,65.329068
52,2025-12-15T02:06:31.665367+00:00,2025-12-16T23:39:00.361781+00:00,3,3,54.905295,19.257682,54.884602,20.067658
53,2025-12-15T02:10:19.688548+00:00,2025-12-17T18:16:15.513996+00:00,16,1,52.382787,4.936002,51.883925,4.455499
54,2025-12-15T02:10:24.710299+00:00,2025-12-15T02:12:29.009217+00:00,2,1,34.662042,33.054942,31.784167,34.310600
55,2025-12-15T02:12:27.980277+00:00,2025-12-15T02:13:41.254066+00:00,2,1,-19.251412,146.830710,-12.472730,130.844937
56,2025-12-15T02:12:48.565552+00:00,2025-12-15T02:12:48.565552+00:00,1,1,54.882193,20.040953,54.796360,19.963070
57,2025-12-15T02:13:56.334127+00:00,2025-12-15T02:15:00.205313+00:00,2,1,60.080738,28.377176,59.933657,28.413402
58,2025-12-15T02:14:14.978037+00:00,2025-12-15T02:15:59.550852+00:00,2,1,57.633634,10.592897,55.826770,10.824048
59,2025-12-15T02:16:14.367031+00:00,2025-12-15T02:17:14.326209+00:00,2,1,54.915722,19.800891,55.434927,19.070682
60,2025-12-15T02:22:40.296344+00:00,2025-12-15T02:29:38.563962+00:00,2,1,54.951953,19.726665,54.904297,19.170882
61,2025-12-15T02:26:19.839650+00:00,2025-12-15T02:33:44.176201+00:00,2,1,43.579548,-5.688467,51.745478,-10.622148
62,2025-12-15T02:27:16.105207+00:00,2025-12-17T21:57:38.329115+00:00,8,1,34.645325,33.010361,34.498034,33.281936
63,2025-12-15T02:30:29.833626+00:00,2025-12-15T02:31:41.393086+00:00,2,1,-19.251412,146.830693,-10.687820,136.633405
64,2025-12-15T02:38:24.163603+00:00,2025-12-15T02:38:24.163603+00:00,1,1,54.872168,19.812997,54.905388,19.185375
