received_at,ship_id,prev_pr_timestamp,pr_timestamp,distance_m,speed_mps,prev_lat,prev_lon,prev_time_utc,curr_lat,curr_lon,curr_time_utc,valid,map_url
2025-12-15 00:16:18.558829341 +0000 UTC,999999999,39,18,2252582.1,27910.10,48.32771666666667,-4.52113,2025-12-15 00:14:57.850323612 +0000 UTC,59.455580000000005,24.719591666666666,2025-12-15 00:16:18.558829341 +0000 UTC,True,"https://www.google.com/maps?q=59.455580000000005,24.719591666666666"
2025-12-15 00:17:42.108486008 +0000 UTC,244013030,27,41,32818.7,2259.87,51.849244999999996,5.871105,2025-12-15 00:17:27.586137554 +0000 UTC,51.81667166666667,5.396406666666667,2025-12-15 00:17:42.108486008 +0000 UTC,True,"https://www.google.com/maps?q=51.81667166666667,5.396406666666667"
2025-12-15 00:17:49.627539057 +0000 UTC,273153100,11,26,48863.1,365.89,45.165031666666664,37.879061666666665,2025-12-15 00:15:36.08082156 +0000 UTC,44.72936333333334,37.797925,2025-12-15 00:17:49.627539057 +0000 UTC,True,"https://www.google.com/maps?q=44.72936333333334,37.797925"
2025-12-15 00:17:53.736414915 +0000 UTC,999999999,18,36,2252582.1,23667.15,59.455580000000005,24.719591666666666,2025-12-15 00:16:18.558829341 +0000 UTC,48.32771666666667,-4.52113,2025-12-15 00:17:53.736414915 +0000 UTC,True,"https://www.google.com/maps?q=48.32771666666667,-4.52113"
2025-12-15 00:18:22.103207784 +0000 UTC,311038900,40,19,142235.5,1432.86,-19.251445,146.83069333333333,2025-12-15 00:16:42.836043037 +0000 UTC,-18.050321666666665,146.36636833333333,2025-12-15 00:18:22.103207784 +0000 UTC,True,"https://www.google.com/maps?q=-18.050321666666665,146.36636833333333"
2025-12-15 00:18:27.552561331 +0000 UTC,244013030,41,27,32819.1,722.19,51.81667166666667,5.396406666666667,2025-12-15 00:17:42.108486008 +0000 UTC,51.84925333333333,5.87111,2025-12-15 00:18:27.552561331 +0000 UTC,True,"https://www.google.com/maps?q=51.84925333333333,5.87111"
2025-12-15 00:19:16.152361743 +0000 UTC,299999999,30,15,2250111.5,21694.11,48.37529833333333,-4.506106666666667,2025-12-15 00:17:32.432414972 +0000 UTC,59.44175666666667,24.76748,2025-12-15 00:19:16.152361743 +0000 UTC,True,"https://www.google.com/maps?q=59.44175666666667,24.76748"
2025-12-15 00:19:18.781078746 +0000 UTC,999999999,36,18,2252582.0,26487.05,48.32771666666667,-4.52113,2025-12-15 00:17:53.736414915 +0000 UTC,59.455580000000005,24.71959,2025-12-15 00:19:18.781078746 +0000 UTC,True,"https://www.google.com/maps?q=59.455580000000005,24.71959"
2025-12-15 00:19:20.954823426 +0000 UTC,232024533,15,35,344531.8,2795.35,34.66205,33.054633333333335,2025-12-15 00:17:17.703213281 +0000 UTC,31.747383333333335,34.31133333333333,2025-12-15 00:19:20.954823426 +0000 UTC,True,"https://www.google.com/maps?q=31.747383333333335,34.31133333333333"
2025-12-15 00:19:41.264192578 +0000 UTC,311038900,19,38,142235.5,1796.79,-18.050321666666665,146.36636833333333,2025-12-15 00:18:22.103207784 +0000 UTC,-19.251445,146.83069333333333,2025-12-15 00:19:41.264192578 +0000 UTC,True,"https://www.google.com/maps?q=-19.251445,146.83069333333333"
2025-12-15 00:20:30.941127019 +0000 UTC,299999999,15,29,2250111.3,30086.22,59.44175666666667,24.76748,2025-12-15 00:19:16.152361743 +0000 UTC,48.3753,-4.506106666666667,2025-12-15 00:20:30.941127019 +0000 UTC,True,"https://www.google.com/maps?q=48.3753,-4.506106666666667"
2025-12-15 00:20:40.155850648 +0000 UTC,244013030,27,40,32816.9,2603.74,51.84926333333333,5.871135,2025-12-15 00:20:27.552076076 +0000 UTC,51.81663666666667,5.396471666666667,2025-12-15 00:20:40.155850648 +0000 UTC,True,"https://www.google.com/maps?q=51.81663666666667,5.396471666666667"
2025-12-15 00:20:51.290786626 +0000 UTC,999999999,18,35,2252591.1,24349.78,59.455580000000005,24.71959,2025-12-15 00:19:18.781078746 +0000 UTC,48.327684999999995,-4.521255,2025-12-15 00:20:51.290786626 +0000 UTC,True,"https://www.google.com/maps?q=48.327684999999995,-4.521255"
2025-12-15 00:21:27.554143178 +0000 UTC,244013030,40,27,32816.6,692.36,51.81663666666667,5.396471666666667,2025-12-15 00:20:40.155850648 +0000 UTC,51.849268333333335,5.87113,2025-12-15 00:21:27.554143178 +0000 UTC,True,"https://www.google.com/maps?q=51.849268333333335,5.87113"
2025-12-15 00:22:18.752215375 +0000 UTC,999999999,35,18,2252591.0,25755.25,48.327684999999995,-4.521255,2025-12-15 00:20:51.290786626 +0000 UTC,59.455580000000005,24.719588333333334,2025-12-15 00:22:18.752215375 +0000 UTC,True,"https://www.google.com/maps?q=59.455580000000005,24.719588333333334"
2025-12-15 00:23:17.766185639 +0000 UTC,232024533,35,15,344519.3,1454.83,31.747383333333335,34.31133333333333,2025-12-15 00:19:20.954823426 +0000 UTC,34.661950000000004,33.0547,2025-12-15 00:23:17.766185639 +0000 UTC,True,"https://www.google.com/maps?q=34.661950000000004,33.0547"
2025-12-15 00:23:42.357711529 +0000 UTC,244013030,37,42,32822.3,6357.60,51.84925,5.871155,2025-12-15 00:23:37.195021157 +0000 UTC,51.81666499999999,5.396405,2025-12-15 00:23:42.357711529 +0000 UTC,True,"https://www.google.com/maps?q=51.81666499999999,5.396405"
2025-12-15 00:23:48.98068085 +0000 UTC,999999999,18,31,2252583.8,24965.33,59.455580000000005,24.719588333333334,2025-12-15 00:22:18.752215375 +0000 UTC,48.32768333333333,-4.521115,2025-12-15 00:23:48.98068085 +0000 UTC,True,"https://www.google.com/maps?q=48.32768333333333,-4.521115"
2025-12-15 00:24:37.153624237 +0000 UTC,244013030,42,36,32822.2,598.99,51.81666499999999,5.396405,2025-12-15 00:23:42.357711529 +0000 UTC,51.84925166666667,5.871153333333334,2025-12-15 00:24:37.153624237 +0000 UTC,True,"https://www.google.com/maps?q=51.84925166666667,5.871153333333334"
2025-12-15 00:25:16.963116719 +0000 UTC,299999999,29,16,2250111.2,21404.75,48.37529833333333,-4.506106666666667,2025-12-15 00:23:31.841045581 +0000 UTC,59.44174833333333,24.767481666666665,2025-12-15 00:25:16.963116719 +0000 UTC,True,"https://www.google.com/maps?q=59.44174833333333,24.767481666666665"
2025-12-15 00:25:19.399147963 +0000 UTC,999999999,31,18,2252583.8,24912.87,48.32768333333333,-4.521115,2025-12-15 00:23:48.98068085 +0000 UTC,59.455580000000005,24.719588333333334,2025-12-15 00:25:19.399147963 +0000 UTC,True,"https://www.google.com/maps?q=59.455580000000005,24.719588333333334"
2025-12-15 00:26:32.210589372 +0000 UTC,299999999,16,30,2250111.1,29902.81,59.44174833333333,24.767481666666665,2025-12-15 00:25:16.963116719 +0000 UTC,48.3753,-4.506106666666667,2025-12-15 00:26:32.210589372 +0000 UTC,True,"https://www.google.com/maps?q=48.3753,-4.506106666666667"
2025-12-15 00:26:39.810740278 +0000 UTC,244013030,36,39,32818.9,522.65,51.849244999999996,5.871141666666667,2025-12-15 00:25:37.017267758 +0000 UTC,51.816651666666665,5.396443333333334,2025-12-15 00:26:39.810740278 +0000 UTC,True,"https://www.google.com/maps?q=51.816651666666665,5.396443333333334"
2025-12-15 00:26:45.966975435 +0000 UTC,244013030,39,45,32818.3,5330.90,51.816651666666665,5.396443333333334,2025-12-15 00:26:39.810740278 +0000 UTC,51.84925166666667,5.871131666666667,2025-12-15 00:26:45.966975435 +0000 UTC,True,"https://www.google.com/maps?q=51.84925166666667,5.871131666666667"
2025-12-15 00:26:46.550518847 +0000 UTC,999999999,18,30,2252583.8,25846.80,59.455580000000005,24.719588333333334,2025-12-15 00:25:19.399147963 +0000 UTC,48.32768333333333,-4.521115,2025-12-15 00:26:46.550518847 +0000 UTC,True,"https://www.google.com/maps?q=48.32768333333333,-4.521115"
2025-12-15 00:27:15.00661445 +0000 UTC,229246000,40,0,1362624.4,7294.63,59.78292833333333,30.110658333333333,2025-12-15 00:24:08.208254213 +0000 UTC,50.83219833333333,15.267076666666666,2025-12-15 00:27:15.00661445 +0000 UTC,True,"https://www.google.com/maps?q=50.83219833333333,15.267076666666666"
2025-12-15 00:28:18.514254173 +0000 UTC,999999999,30,18,2252583.7,24494.26,48.32768333333333,-4.521115,2025-12-15 00:26:46.550518847 +0000 UTC,59.455580000000005,24.719586666666665,2025-12-15 00:28:18.514254173 +0000 UTC,True,"https://www.google.com/maps?q=59.455580000000005,24.719586666666665"
2025-12-15 00:29:44.230224939 +0000 UTC,999999999,18,26,2252592.0,26279.72,59.455580000000005,24.719586666666665,2025-12-15 00:28:18.514254173 +0000 UTC,48.32767,-4.521253333333333,2025-12-15 00:29:44.230224939 +0000 UTC,True,"https://www.google.com/maps?q=48.32767,-4.521253333333333"
2025-12-15 00:30:06.992426754 +0000 UTC,311038900,41,4,3392475.3,40080.01,-19.251428333333333,146.83067666666665,2025-12-15 00:28:42.349860462 +0000 UTC,-9.28829,117.009785,2025-12-15 00:30:06.992426754 +0000 UTC,True,"https://www.google.com/maps?q=-9.28829,117.009785"
2025-12-15 00:30:41.316355702 +0000 UTC,244013030,45,41,32822.3,593.59,51.849246666666666,5.871158333333333,2025-12-15 00:29:46.022159377 +0000 UTC,51.81665666666667,5.39641,2025-12-15 00:30:41.316355702 +0000 UTC,True,"https://www.google.com/maps?q=51.81665666666667,5.39641"
2025-12-15 00:30:47.685973763 +0000 UTC,244013030,41,47,32819.3,5152.47,51.81665666666667,5.39641,2025-12-15 00:30:41.316355702 +0000 UTC,51.84923333333334,5.8711166666666665,2025-12-15 00:30:47.685973763 +0000 UTC,True,"https://www.google.com/maps?q=51.84923333333334,5.8711166666666665"
2025-12-15 00:31:15.690499993 +0000 UTC,299999999,30,15,2250112.4,21699.85,48.37529833333333,-4.506106666666667,2025-12-15 00:29:31.997958789 +0000 UTC,59.44174666666667,24.767505000000003,2025-12-15 00:31:15.690499993 +0000 UTC,True,"https://www.google.com/maps?q=59.44174666666667,24.767505000000003"
