cluster_id,first_time_utc,last_time_utc,event_count,distinct_mmsi,origin_center_lat,origin_center_lon,dest_center_lat,dest_center_lon
1,2025-12-31T00:47:22.217383+00:00,2025-12-31T00:48:27.725846+00:00,2,1,38.047793,-121.693710,38.031030,-121.852935
2,2025-12-31T00:48:13.901302+00:00,2026-01-03T04:05:30.044395+00:00,1577,1,59.441758,24.767484,48.387670,-4.498474
3,2025-12-31T00:54:51.026488+00:00,2026-01-02T22:30:14.835192+00:00,7,3,33.639211,-118.215131,33.738283,-118.180249
4,2025-12-31T00:54:52.031557+00:00,2025-12-31T00:56:00.037874+00:00,2,1,38.047793,-121.693710,38.033305,-121.871475
5,2025-12-31T01:01:52.192453+00:00,2025-12-31T01:01:52.192453+00:00,1,1,38.047793,-121.693710,38.042362,-121.885242
6,2025-12-31T01:03:41.974826+00:00,2025-12-31T01:04:48.568448+00:00,2,1,33.567128,-118.251077,33.672150,-118.202323
7,2025-12-31T01:03:46.675982+00:00,2025-12-31T01:03:46.675982+00:00,1,1,33.666707,-118.189955,33.757535,-118.191570
8,2025-12-31T01:14:19.089796+00:00,2026-01-03T03:57:26.451110+00:00,38,8,44.913108,37.831724,44.895011,38.060680
9,2025-12-31T01:14:37.751466+00:00,2026-01-01T14:12:20.189943+00:00,42,5,44.715557,37.802085,44.514737,38.011231
10,2025-12-31T01:19:21.455237+00:00,2025-12-31T01:19:21.455237+00:00,1,1,44.508948,36.462033,45.165103,37.882875
11,2025-12-31T01:21:59.819830+00:00,2025-12-31T01:22:59.780302+00:00,2,1,49.168564,-123.932192,5.518572,-12.599113
12,2025-12-31T01:22:50.668986+00:00,2026-01-03T01:55:42.421386+00:00,18,7,45.132008,37.890591,44.727043,37.798834
13,2025-12-31T01:27:10.792104+00:00,2026-01-03T04:05:27.908312+00:00,40,17,44.895662,38.023677,44.727726,37.775399
14,2025-12-31T01:33:50.483321+00:00,2026-01-03T03:39:28.894542+00:00,75,12,44.642827,38.384607,44.514884,38.012228
15,2025-12-31T01:34:08.758629+00:00,2025-12-31T01:37:56.000543+00:00,2,1,53.347410,-6.192765,53.549910,-3.548553
16,2025-12-31T01:42:06.367684+00:00,2026-01-03T04:03:05.655482+00:00,16,4,44.641976,38.391018,44.716119,37.785494
17,2025-12-31T01:44:09.257418+00:00,2026-01-01T06:05:28.031115+00:00,4,1,56.102962,10.392754,53.766667,8.180767
18,2025-12-31T01:44:38.514431+00:00,2026-01-03T00:50:48.879255+00:00,10,3,54.829160,19.620311,55.033374,19.642650
19,2025-12-31T01:46:57.784593+00:00,2025-12-31T02:00:59.259302+00:00,4,1,54.388917,18.670421,50.388908,18.003758
20,2025-12-31T01:48:26.297257+00:00,2026-01-03T03:35:10.783419+00:00,15,6,44.674448,38.070076,44.677380,37.878455
21,2025-12-31T01:49:08.083043+00:00,2025-12-31T01:49:08.083043+00:00,1,1,54.903250,19.176417,54.829142,19.930573
22,2025-12-31T01:56:05.874281+00:00,2026-01-02T15:41:39.905343+00:00,32,2,53.540912,-3.191599,53.347375,-6.192773
23,2025-12-31T01:58:14.163521+00:00,2026-01-03T03:47:06.303487+00:00,16,4,54.839480,19.613957,54.872332,19.811544
24,2025-12-31T02:00:27.459615+00:00,2026-01-02T21:42:48.266788+00:00,12,1,53.339591,-6.160843,53.401733,-3.010026
25,2025-12-31T02:02:54.241386+00:00,2025-12-31T02:04:34.464209+00:00,2,1,44.661637,38.138783,44.720262,37.766093
26,2025-12-31T02:07:47.983284+00:00,2026-01-03T03:21:05.791185+00:00,2,2,54.902462,19.178223,54.837523,19.972583
27,2025-12-31T02:13:18.919049+00:00,2026-01-03T03:41:01.803246+00:00,85,15,44.733677,37.816293,44.641970,38.390058
28,2025-12-31T02:13:28.060224+00:00,2025-12-31T02:14:26.030662+00:00,2,1,54.852854,19.886263,54.816712,19.265500
29,2025-12-31T02:18:54.377992+00:00,2025-12-31T02:18:54.377992+00:00,1,1,44.734353,37.785193,44.466490,38.319083
30,2025-12-31T02:19:39.491387+00:00,2026-01-01T13:28:15.470374+00:00,4,1,51.453859,3.720366,40.693723,-8.999337
31,2025-12-31T02:20:11.809251+00:00,2025-12-31T02:20:11.809251+00:00,1,1,45.163157,37.885363,44.721660,37.762412
32,2025-12-31T02:23:47.098319+00:00,2026-01-03T03:19:17.661762+00:00,7,2,54.831307,19.627178,54.902405,19.178075
33,2025-12-31T02:25:13.393154+00:00,2025-12-31T02:26:11.872706+00:00,2,1,54.816126,19.642032,55.693875,18.995293
34,2025-12-31T02:31:30.589982+00:00,2025-12-31T02:35:06.497802+00:00,2,1,44.703833,37.842688,44.634795,38.380785
35,2025-12-31T02:35:41.616378+00:00,2026-01-03T03:28:14.274879+00:00,6,1,37.946964,23.640291,37.088082,25.146388
36,2025-12-31T02:38:58.674356+00:00,2025-12-31T02:39:16.260797+00:00,2,1,51.246073,4.382096,51.430510,3.975902
37,2025-12-31T02:41:39.057537+00:00,2025-12-31T02:42:48.026390+00:00,2,1,59.053792,5.205608,58.198317,11.239467
38,2025-12-31T02:50:34.965872+00:00,2026-01-02T21:00:45.369155+00:00,7,4,52.428472,5.437586,52.659523,5.598053
39,2025-12-31T02:50:44.537304+00:00,2026-01-03T03:56:49.072217+00:00,118,16,44.769868,37.898090,45.164897,37.880422
40,2025-12-31T03:05:32.027728+00:00,2026-01-02T07:40:15.852839+00:00,6,1,51.453850,3.720368,51.437945,2.524117
41,2025-12-31T03:21:38.563328+00:00,2026-01-01T08:02:28.073571+00:00,6,1,56.102353,10.392444,56.154256,10.239667
42,2025-12-31T03:34:39.075335+00:00,2026-01-02T17:59:08.563038+00:00,7,4,45.011188,37.983266,44.801331,37.836108
43,2025-12-31T03:35:57.290867+00:00,2026-01-03T03:50:48.628650+00:00,51,10,44.727084,37.781802,44.676976,37.881183
44,2025-12-31T03:43:29.267871+00:00,2026-01-01T14:30:03.650235+00:00,5,2,44.623110,37.913460,44.637914,38.398524
45,2025-12-31T03:47:43.766788+00:00,2026-01-02T16:31:15.578636+00:00,4,1,51.453853,3.720380,51.471985,2.590643
46,2025-12-31T03:47:44.392582+00:00,2026-01-01T15:23:06.621359+00:00,10,4,44.641782,38.337351,44.718696,37.794679
47,2025-12-31T03:50:50.702850+00:00,2026-01-03T03:02:20.060766+00:00,3,3,54.721711,19.291103,54.801552,19.963803
48,2025-12-31T03:57:51.460478+00:00,2026-01-02T18:57:13.790006+00:00,60,9,44.690135,37.891442,44.515238,38.013539
49,2025-12-31T04:00:19.290502+00:00,2026-01-01T17:03:03.506162+00:00,4,2,51.453497,3.797750,52.399385,4.886462
50,2025-12-31T04:14:40.825018+00:00,2026-01-03T03:53:02.311685+00:00,22,9,44.781586,37.831481,44.897117,38.063473
51,2025-12-31T04:15:25.451184+00:00,2025-12-31T04:15:25.451184+00:00,1,1,43.103330,28.742523,43.174317,28.645927
52,2025-12-31T04:18:55.489688+00:00,2025-12-31T04:19:26.025353+00:00,2,1,52.522648,5.435063,53.065362,10.567853
53,2025-12-31T04:24:42.836675+00:00,2026-01-03T04:04:43.013244+00:00,54,11,44.639799,38.371887,44.725052,37.775514
54,2025-12-31T04:31:22.431250+00:00,2025-12-31T05:21:24.478788+00:00,4,2,51.391080,2.409781,51.430045,3.590450
55,2025-12-31T04:32:43.102818+00:00,2026-01-03T03:47:26.950045+00:00,57,8,44.724453,37.785299,44.515631,38.013881
56,2025-12-31T04:34:47.443317+00:00,2025-12-31T05:52:16.589678+00:00,2,1,29.790192,-95.077778,30.658922,-99.228382
57,2025-12-31T04:35:44.883704+00:00,2025-12-31T04:40:25.552869+00:00,2,1,43.159843,28.641267,43.058400,28.671413
58,2025-12-31T04:37:02.169484+00:00,2025-12-31T04:37:02.169484+00:00,1,1,54.800915,19.956768,54.865777,19.812392
59,2025-12-31T04:37:05.264249+00:00,2025-12-31T04:40:07.325342+00:00,2,1,51.956103,4.004550,-75.620643,0.000060
60,2025-12-31T04:38:30.540865+00:00,2025-12-31T04:41:27.387739+00:00,2,1,56.101683,10.392367,56.158467,10.250267
61,2025-12-31T04:40:18.844822+00:00,2026-01-02T15:44:32.406566+00:00,11,4,44.642120,38.391145,44.733742,37.785412
62,2025-12-31T04:41:25.565236+00:00,2025-12-31T04:47:25.551595+00:00,2,1,43.160783,28.638213,43.045843,28.665967
63,2025-12-31T04:41:57.093725+00:00,2025-12-31T04:42:58.134860+00:00,2,1,30.076187,-94.086398,29.053295,-93.580922
64,2025-12-31T04:46:34.904665+00:00,2025-12-31T04:46:34.904665+00:00,1,1,52.534660,5.435383,51.894537,4.685138
65,2025-12-31T04:48:20.156320+00:00,2025-12-31T04:49:38.452400+00:00,2,1,51.374633,2.173132,-22.025855,1.570165
66,2025-12-31T04:49:55.843765+00:00,2025-12-31T15:37:50.755515+00:00,4,2,52.399698,4.900061,-29.738740,0.000073
67,2025-12-31T04:51:10.127140+00:00,2025-12-31T04:54:43.751878+00:00,2,1,63.011642,7.826450,14.052333,-61.013050
68,2025-12-31T04:54:03.722716+00:00,2025-12-31T04:54:03.722716+00:00,1,1,43.160207,28.639377,43.017920,28.654037
69,2025-12-31T04:54:47.930853+00:00,2026-01-03T03:57:54.797299+00:00,52,10,44.649557,37.904853,44.643139,38.392476
70,2025-12-31T05:12:43.857764+00:00,2025-12-31T05:12:43.857764+00:00,1,1,42.982723,28.638733,43.134147,28.671690
71,2025-12-31T05:25:16.335578+00:00,2025-12-31T05:25:29.754964+00:00,2,1,51.449255,0.355254,51.580132,2.660267
72,2025-12-31T05:33:33.245125+00:00,2025-12-31T05:33:33.245125+00:00,1,1,43.150140,28.702867,42.931667,28.616200
73,2025-12-31T05:46:40.955035+00:00,2025-12-31T05:46:47.684137+00:00,2,1,43.594084,-5.688713,53.840297,8.842923
