received_at,ship_id,prev_pr_timestamp,pr_timestamp,distance_m,speed_mps,prev_lat,prev_lon,prev_time_utc,curr_lat,curr_lon,curr_time_utc,valid,map_url,spoofing_cluster_id,spoofing_confirmed
2025-12-28 03:48:32.562917829 +0000 UTC,299999999,48,32,2248751.8,13909.15,48.387683333333335,-4.498483333333334,2025-12-28 03:45:50.888605741 +0000 UTC,59.44176166666667,24.76752,2025-12-28 03:48:32.562917829 +0000 UTC,True,"https://www.google.com/maps?q=59.44176166666667,24.76752",1,False
2025-12-28 03:49:05.532088373 +0000 UTC,241159000,29,5,402348.1,4204.58,37.941003333333335,23.624413333333333,2025-12-28 03:47:29.839219876 +0000 UTC,36.64116833333333,27.869626666666665,2025-12-28 03:49:05.532088373 +0000 UTC,True,"https://www.google.com/maps?q=36.64116833333333,27.869626666666665",2,False
2025-12-28 03:50:30.065380495 +0000 UTC,241159000,5,29,402348.1,4759.64,36.64116833333333,27.869626666666665,2025-12-28 03:49:05.532088373 +0000 UTC,37.941003333333335,23.624413333333333,2025-12-28 03:50:30.065380495 +0000 UTC,True,"https://www.google.com/maps?q=37.941003333333335,23.624413333333333",2,False
2025-12-28 03:51:52.298344092 +0000 UTC,299999999,18,50,2248749.6,12127.44,59.44176166666667,24.76752,2025-12-28 03:48:46.871827327 +0000 UTC,48.3877,-4.498466666666667,2025-12-28 03:51:52.298344092 +0000 UTC,True,"https://www.google.com/maps?q=48.3877,-4.498466666666667",1,False
2025-12-28 03:53:36.597354659 +0000 UTC,244830098,53,35,23014.5,227.54,47.13636333333333,-2.423353333333333,2025-12-28 03:51:55.453438478 +0000 UTC,47.11208333333333,-2.725443333333333,2025-12-28 03:53:36.597354659 +0000 UTC,True,"https://www.google.com/maps?q=47.11208333333333,-2.725443333333333",3,False
2025-12-28 03:54:32.003804858 +0000 UTC,299999999,50,31,2248749.4,14080.60,48.3877,-4.498466666666667,2025-12-28 03:51:52.298344092 +0000 UTC,59.44175833333334,24.76751833333333,2025-12-28 03:54:32.003804858 +0000 UTC,True,"https://www.google.com/maps?q=59.44175833333334,24.76751833333333",1,False
2025-12-28 03:54:56.375686589 +0000 UTC,244830098,35,54,23038.2,288.78,47.11208333333333,-2.725443333333333,2025-12-28 03:53:36.597354659 +0000 UTC,47.13617166666667,-2.4230050000000003,2025-12-28 03:54:56.375686589 +0000 UTC,True,"https://www.google.com/maps?q=47.13617166666667,-2.4230050000000003",3,False
2025-12-28 03:57:19.08978071 +0000 UTC,273153100,32,55,11677.5,57.54,44.728716666666664,37.77504333333333,2025-12-28 03:53:56.142103774 +0000 UTC,44.62581333333333,37.80453333333333,2025-12-28 03:57:19.08978071 +0000 UTC,True,"https://www.google.com/maps?q=44.62581333333333,37.80453333333333",4,True
2025-12-28 03:57:51.647310533 +0000 UTC,299999999,18,49,2248748.9,12722.38,59.44175833333334,24.76751833333333,2025-12-28 03:54:54.89199884 +0000 UTC,48.387683333333335,-4.498433333333334,2025-12-28 03:57:51.647310533 +0000 UTC,True,"https://www.google.com/maps?q=48.387683333333335,-4.498433333333334",1,False
2025-12-28 03:58:02.129721056 +0000 UTC,241159000,31,1,344599.1,11894.27,37.941003333333335,23.624413333333333,2025-12-28 03:57:33.157857465 +0000 UTC,36.62996333333333,27.15422166666667,2025-12-28 03:58:02.129721056 +0000 UTC,True,"https://www.google.com/maps?q=36.62996333333333,27.15422166666667",5,False
2025-12-28 03:58:33.157688721 +0000 UTC,241159000,1,31,344599.1,11106.08,36.62996333333333,27.15422166666667,2025-12-28 03:58:02.129721056 +0000 UTC,37.941003333333335,23.624413333333333,2025-12-28 03:58:33.157688721 +0000 UTC,True,"https://www.google.com/maps?q=37.941003333333335,23.624413333333333",5,False
2025-12-28 04:00:32.426723522 +0000 UTC,299999999,49,31,2248749.1,13986.55,48.387683333333335,-4.498433333333334,2025-12-28 03:57:51.647310533 +0000 UTC,59.44176166666667,24.76752,2025-12-28 04:00:32.426723522 +0000 UTC,True,"https://www.google.com/maps?q=59.44176166666667,24.76752",1,False
2025-12-28 04:00:49.318963493 +0000 UTC,244830098,53,49,458548.7,2622.02,47.135753333333334,-2.42264,2025-12-28 03:57:54.435011471 +0000 UTC,50.463163333333334,-6.123836666666667,2025-12-28 04:00:49.318963493 +0000 UTC,True,"https://www.google.com/maps?q=50.463163333333334,-6.123836666666667",6,False
2025-12-28 04:00:58.566946041 +0000 UTC,249600000,23,8,140514.3,1639.49,51.34217666666667,3.2128266666666665,2025-12-28 03:59:32.860982919 +0000 UTC,51.48643333333334,1.1998600000000001,2025-12-28 04:00:58.566946041 +0000 UTC,True,"https://www.google.com/maps?q=51.48643333333334,1.1998600000000001",7,False
2025-12-28 04:01:44.520259344 +0000 UTC,273153100,55,20,20930.7,78.86,44.62581333333333,37.80453333333333,2025-12-28 03:57:19.08978071 +0000 UTC,44.50365333333333,37.603525,2025-12-28 04:01:44.520259344 +0000 UTC,True,"https://www.google.com/maps?q=44.50365333333333,37.603525",4,True
2025-12-28 04:02:32.272342222 +0000 UTC,249600000,8,22,140514.2,1499.53,51.48643333333334,1.1998600000000001,2025-12-28 04:00:58.566946041 +0000 UTC,51.34217666666667,3.212825,2025-12-28 04:02:32.272342222 +0000 UTC,True,"https://www.google.com/maps?q=51.34217666666667,3.212825",7,False
2025-12-28 04:03:28.188929125 +0000 UTC,273454430,12,4,100199.0,105.24,45.16492,37.87945666666667,2025-12-28 03:47:36.095343246 +0000 UTC,44.26407666666667,37.84854833333333,2025-12-28 04:03:28.188929125 +0000 UTC,True,"https://www.google.com/maps?q=44.26407666666667,37.84854833333333",8,True
2025-12-28 04:03:51.709097998 +0000 UTC,299999999,18,49,2248752.2,12728.46,59.44176166666667,24.76752,2025-12-28 04:00:55.037964015 +0000 UTC,48.38766666666667,-4.498466666666667,2025-12-28 04:03:51.709097998 +0000 UTC,True,"https://www.google.com/maps?q=48.38766666666667,-4.498466666666667",1,False
2025-12-28 04:03:56.303284181 +0000 UTC,244830098,49,55,458503.8,2452.10,50.463163333333334,-6.123836666666667,2025-12-28 04:00:49.318963493 +0000 UTC,47.13610666666667,-2.4229316666666665,2025-12-28 04:03:56.303284181 +0000 UTC,True,"https://www.google.com/maps?q=47.13610666666667,-2.4229316666666665",6,False
2025-12-28 04:05:03.636421059 +0000 UTC,273396190,45,39,52955.0,84.11,44.730635,37.777948333333335,2025-12-28 03:54:34.060529845 +0000 UTC,44.25720666666667,37.850335,2025-12-28 04:05:03.636421059 +0000 UTC,True,"https://www.google.com/maps?q=44.25720666666667,37.850335",9,True
2025-12-28 04:06:31.819242036 +0000 UTC,299999999,49,31,2248752.1,14045.03,48.38766666666667,-4.498466666666667,2025-12-28 04:03:51.709097998 +0000 UTC,59.44176,24.76752,2025-12-28 04:06:31.819242036 +0000 UTC,True,"https://www.google.com/maps?q=59.44176,24.76752",1,False
2025-12-28 04:07:19.477800377 +0000 UTC,273396190,39,55,50895.5,374.67,44.25720666666667,37.850335,2025-12-28 04:05:03.636421059 +0000 UTC,44.71487166666667,37.85977666666667,2025-12-28 04:07:19.477800377 +0000 UTC,True,"https://www.google.com/maps?q=44.71487166666667,37.85977666666667",9,True
2025-12-28 04:08:04.455401009 +0000 UTC,636018138,43,2,815035.7,10245.71,51.28185666666666,4.3807,2025-12-28 04:06:44.906469985 +0000 UTC,55.401675,14.557516666666666,2025-12-28 04:08:04.455401009 +0000 UTC,True,"https://www.google.com/maps?q=55.401675,14.557516666666666",10,False
2025-12-28 04:09:44.699702681 +0000 UTC,636018138,2,43,815035.9,8130.50,55.401675,14.557516666666666,2025-12-28 04:08:04.455401009 +0000 UTC,51.28185666666666,4.380695,2025-12-28 04:09:44.699702681 +0000 UTC,True,"https://www.google.com/maps?q=51.28185666666666,4.380695",10,False
2025-12-28 04:09:51.936287971 +0000 UTC,299999999,31,50,2248749.0,11237.17,59.44176,24.76752,2025-12-28 04:06:31.819242036 +0000 UTC,48.387683333333335,-4.498433333333334,2025-12-28 04:09:51.936287971 +0000 UTC,True,"https://www.google.com/maps?q=48.387683333333335,-4.498433333333334",1,False
2025-12-28 04:10:20.353581589 +0000 UTC,314754000,57,55,29437.5,54.69,44.50152166666667,37.60581666666667,2025-12-28 04:01:22.139866309 +0000 UTC,44.70206833333334,37.84854166666666,2025-12-28 04:10:20.353581589 +0000 UTC,True,"https://www.google.com/maps?q=44.70206833333334,37.84854166666666",11,True
2025-12-28 04:10:51.611701554 +0000 UTC,241159000,21,50,441004.6,4996.02,37.941003333333335,23.624413333333333,2025-12-28 04:09:23.340435091 +0000 UTC,36.446595,28.237015,2025-12-28 04:10:51.611701554 +0000 UTC,True,"https://www.google.com/maps?q=36.446595,28.237015",12,False
2025-12-28 04:12:22.23330273 +0000 UTC,241159000,50,20,441004.6,4866.44,36.446595,28.237015,2025-12-28 04:10:51.611701554 +0000 UTC,37.941003333333335,23.624413333333333,2025-12-28 04:12:22.23330273 +0000 UTC,True,"https://www.google.com/maps?q=37.941003333333335,23.624413333333333",12,False
2025-12-28 04:12:31.504228888 +0000 UTC,299999999,50,31,2248751.5,14092.75,48.387683333333335,-4.498433333333334,2025-12-28 04:09:51.936287971 +0000 UTC,59.44177,24.76756,2025-12-28 04:12:31.504228888 +0000 UTC,True,"https://www.google.com/maps?q=59.44177,24.76756",1,False
2025-12-28 04:14:23.264828765 +0000 UTC,241159000,20,21,321918.2,2659.79,37.941003333333335,23.624413333333333,2025-12-28 04:12:22.23330273 +0000 UTC,36.93371833333333,27.043026666666666,2025-12-28 04:14:23.264828765 +0000 UTC,True,"https://www.google.com/maps?q=36.93371833333333,27.043026666666666",13,False
2025-12-28 04:15:23.234053782 +0000 UTC,241159000,21,22,321918.0,5368.05,36.93371833333333,27.043026666666666,2025-12-28 04:14:23.264828765 +0000 UTC,37.941003333333335,23.624415,2025-12-28 04:15:23.234053782 +0000 UTC,True,"https://www.google.com/maps?q=37.941003333333335,23.624415",13,False
2025-12-28 04:15:44.343800779 +0000 UTC,273454430,4,20,40158.2,54.55,44.26407666666667,37.84854833333333,2025-12-28 04:03:28.188929125 +0000 UTC,44.623775,37.803215,2025-12-28 04:15:44.343800779 +0000 UTC,True,"https://www.google.com/maps?q=44.623775,37.803215",4,True
2025-12-28 04:15:52.117608007 +0000 UTC,299999999,18,50,2248750.3,3944753.73,59.44177,24.767543333333332,2025-12-28 04:15:51.547547785 +0000 UTC,48.3877,-4.49845,2025-12-28 04:15:52.117608007 +0000 UTC,True,"https://www.google.com/maps?q=48.3877,-4.49845",1,False
2025-12-28 04:17:52.633441235 +0000 UTC,273396190,11,28,28294.7,75.02,44.70247166666666,37.85028,2025-12-28 04:11:35.454562692 +0000 UTC,44.51058166666667,37.61554666666667,2025-12-28 04:17:52.633441235 +0000 UTC,True,"https://www.google.com/maps?q=44.51058166666667,37.61554666666667",11,True
2025-12-28 04:18:31.763241439 +0000 UTC,299999999,50,31,2248750.6,14085.89,48.3877,-4.49845,2025-12-28 04:15:52.117608007 +0000 UTC,59.44177333333334,24.76754833333333,2025-12-28 04:18:31.763241439 +0000 UTC,True,"https://www.google.com/maps?q=59.44177333333334,24.76754833333333",1,False
2025-12-28 04:21:05.730731769 +0000 UTC,244830098,41,3,546238.6,24224.23,47.13605,-2.422903333333333,2025-12-28 04:20:43.18146822 +0000 UTC,50.73956333333333,-7.510656666666667,2025-12-28 04:21:05.730731769 +0000 UTC,True,"https://www.google.com/maps?q=50.73956333333333,-7.510656666666667",14,False
2025-12-28 04:21:48.033779361 +0000 UTC,244830098,3,41,546221.7,12912.11,50.73956333333333,-7.510656666666667,2025-12-28 04:21:05.730731769 +0000 UTC,47.13616666666667,-2.423045,2025-12-28 04:21:48.033779361 +0000 UTC,True,"https://www.google.com/maps?q=47.13616666666667,-2.423045",14,False
2025-12-28 04:21:51.480643255 +0000 UTC,299999999,31,49,2248753.2,11259.68,59.44177333333334,24.76754833333333,2025-12-28 04:18:31.763241439 +0000 UTC,48.38766666666667,-4.49845,2025-12-28 04:21:51.480643255 +0000 UTC,True,"https://www.google.com/maps?q=48.38766666666667,-4.49845",1,False
2025-12-28 04:22:34.370742275 +0000 UTC,273396190,28,10,33199.7,149.72,44.50528666666666,37.610236666666665,2025-12-28 04:18:52.627027491 +0000 UTC,44.261365,37.851165,2025-12-28 04:22:34.370742275 +0000 UTC,True,"https://www.google.com/maps?q=44.261365,37.851165",9,True
2025-12-28 04:23:41.813578518 +0000 UTC,314754000,55,17,49179.9,61.36,44.70206833333334,37.84854166666666,2025-12-28 04:10:20.353581589 +0000 UTC,44.25978333333333,37.84755500000001,2025-12-28 04:23:41.813578518 +0000 UTC,True,"https://www.google.com/maps?q=44.25978333333333,37.84755500000001",9,True
2025-12-28 04:26:11.556658964 +0000 UTC,249600000,23,7,125407.0,789.85,51.34217666666667,3.2128216666666662,2025-12-28 04:23:32.782871998 +0000 UTC,51.47649,1.4175333333333335,2025-12-28 04:26:11.556658964 +0000 UTC,True,"https://www.google.com/maps?q=51.47649,1.4175333333333335",15,False
2025-12-28 04:26:32.032140453 +0000 UTC,249600000,7,22,125406.9,6124.73,51.47649,1.4175333333333335,2025-12-28 04:26:11.556658964 +0000 UTC,51.34217666666667,3.2128200000000002,2025-12-28 04:26:32.032140453 +0000 UTC,True,"https://www.google.com/maps?q=51.34217666666667,3.2128200000000002",15,False
2025-12-28 04:27:06.468167965 +0000 UTC,273396190,14,42,48404.5,232.89,44.26103166666667,37.846446666666665,2025-12-28 04:23:38.624645976 +0000 UTC,44.69611833333333,37.86607166666667,2025-12-28 04:27:06.468167965 +0000 UTC,True,"https://www.google.com/maps?q=44.69611833333333,37.86607166666667",9,True
2025-12-28 04:30:01.437764196 +0000 UTC,314754000,17,37,49633.8,130.74,44.25978333333333,37.84755500000001,2025-12-28 04:23:41.813578518 +0000 UTC,44.70613,37.85360166666667,2025-12-28 04:30:01.437764196 +0000 UTC,True,"https://www.google.com/maps?q=44.70613,37.85360166666667",9,True
2025-12-28 04:30:07.912335594 +0000 UTC,241159000,28,5,60931.3,2325.75,37.941003333333335,23.624413333333333,2025-12-28 04:29:41.71376159 +0000 UTC,37.55168833333333,24.112093333333334,2025-12-28 04:30:07.912335594 +0000 UTC,True,"https://www.google.com/maps?q=37.55168833333333,24.112093333333334",16,False
2025-12-28 04:30:31.229835079 +0000 UTC,299999999,50,30,2248750.4,14146.44,48.387683333333335,-4.49845,2025-12-28 04:27:52.267564771 +0000 UTC,59.44177833333333,24.767515,2025-12-28 04:30:31.229835079 +0000 UTC,True,"https://www.google.com/maps?q=59.44177833333333,24.767515",1,False
2025-12-28 04:31:30.838316221 +0000 UTC,241159000,5,29,60930.2,734.75,37.55168833333333,24.112093333333334,2025-12-28 04:30:07.912335594 +0000 UTC,37.941003333333335,23.62443,2025-12-28 04:31:30.838316221 +0000 UTC,True,"https://www.google.com/maps?q=37.941003333333335,23.62443",16,False
2025-12-28 04:33:31.631336945 +0000 UTC,241159000,29,30,324537.1,2686.72,37.941003333333335,23.62443,2025-12-28 04:31:30.838316221 +0000 UTC,36.92562,27.070718333333332,2025-12-28 04:33:31.631336945 +0000 UTC,True,"https://www.google.com/maps?q=36.92562,27.070718333333332",17,False
2025-12-28 04:33:50.681125754 +0000 UTC,299999999,30,48,2248752.5,11274.70,59.44177833333333,24.767515,2025-12-28 04:30:31.229835079 +0000 UTC,48.38766666666667,-4.498466666666667,2025-12-28 04:33:50.681125754 +0000 UTC,True,"https://www.google.com/maps?q=48.38766666666667,-4.498466666666667",1,False
2025-12-28 04:36:32.804319293 +0000 UTC,299999999,48,32,2248751.6,13870.63,48.38766666666667,-4.498466666666667,2025-12-28 04:33:50.681125754 +0000 UTC,59.44177833333333,24.767498333333332,2025-12-28 04:36:32.804319293 +0000 UTC,True,"https://www.google.com/maps?q=59.44177833333333,24.767498333333332",1,False
2025-12-28 04:37:01.389797517 +0000 UTC,241159000,30,59,308341.4,1469.98,36.92562,27.070718333333332,2025-12-28 04:33:31.631336945 +0000 UTC,37.66675333333333,23.711509999999997,2025-12-28 04:37:01.389797517 +0000 UTC,True,"https://www.google.com/maps?q=37.66675333333333,23.711509999999997",17,False
2025-12-28 04:37:21.881313 +0000 UTC,273397190,49,58,30221.9,70.63,44.709021666666665,37.853179999999995,2025-12-28 04:30:13.988337464 +0000 UTC,44.505718333333334,37.59980666666667,2025-12-28 04:37:21.881313 +0000 UTC,True,"https://www.google.com/maps?q=44.505718333333334,37.59980666666667",18,True
2025-12-28 04:37:36.752422636 +0000 UTC,210708000,43,33,361192.0,3256.71,59.42085,5.248283333333333,2025-12-28 04:35:45.845363367 +0000 UTC,58.38316666666666,-0.7138833333333333,2025-12-28 04:37:36.752422636 +0000 UTC,True,"https://www.google.com/maps?q=58.38316666666666,-0.7138833333333333",19,False
2025-12-28 04:38:46.539721532 +0000 UTC,210708000,33,43,361192.0,5175.61,58.38316666666666,-0.7138833333333333,2025-12-28 04:37:36.752422636 +0000 UTC,59.42085,5.248283333333333,2025-12-28 04:38:46.539721532 +0000 UTC,True,"https://www.google.com/maps?q=59.42085,5.248283333333333",19,False
2025-12-28 04:39:08.257987878 +0000 UTC,241159000,59,6,384203.6,3028.37,37.66675333333333,23.711509999999997,2025-12-28 04:37:01.389797517 +0000 UTC,36.62512,27.84507166666667,2025-12-28 04:39:08.257987878 +0000 UTC,True,"https://www.google.com/maps?q=36.62512,27.84507166666667",20,False
2025-12-28 04:39:51.036353999 +0000 UTC,299999999,32,49,2248750.4,11344.03,59.44177833333333,24.767498333333332,2025-12-28 04:36:32.804319293 +0000 UTC,48.387683333333335,-4.498466666666667,2025-12-28 04:39:51.036353999 +0000 UTC,True,"https://www.google.com/maps?q=48.387683333333335,-4.498466666666667",1,False
2025-12-28 04:40:30.759218366 +0000 UTC,241159000,6,29,401006.5,4860.61,36.62512,27.84507166666667,2025-12-28 04:39:08.257987878 +0000 UTC,37.941003333333335,23.624413333333333,2025-12-28 04:40:30.759218366 +0000 UTC,True,"https://www.google.com/maps?q=37.941003333333335,23.624413333333333",20,False
2025-12-28 04:41:15.614853998 +0000 UTC,273396190,58,51,40767.8,115.46,44.62549833333333,37.80236333333333,2025-12-28 04:35:22.535590489 +0000 UTC,44.26034166666667,37.84840666666666,2025-12-28 04:41:15.614853998 +0000 UTC,True,"https://www.google.com/maps?q=44.26034166666667,37.84840666666666",9,True
2025-12-28 04:42:32.324195007 +0000 UTC,299999999,49,31,2248748.8,13942.46,48.387683333333335,-4.498466666666667,2025-12-28 04:39:51.036353999 +0000 UTC,59.441763333333334,24.76748,2025-12-28 04:42:32.324195007 +0000 UTC,True,"https://www.google.com/maps?q=59.441763333333334,24.76748",1,False
2025-12-28 04:44:25.766305788 +0000 UTC,241159000,29,16,373933.2,1591.16,37.941003333333335,23.624413333333333,2025-12-28 04:40:30.759218366 +0000 UTC,36.41752833333333,27.387726666666666,2025-12-28 04:44:25.766305788 +0000 UTC,True,"https://www.google.com/maps?q=36.41752833333333,27.387726666666666",21,False
2025-12-28 04:45:51.365296977 +0000 UTC,299999999,31,49,2248750.6,11297.92,59.441763333333334,24.76748,2025-12-28 04:42:32.324195007 +0000 UTC,48.387683333333335,-4.498500000000001,2025-12-28 04:45:51.365296977 +0000 UTC,True,"https://www.google.com/maps?q=48.387683333333335,-4.498500000000001",1,False
2025-12-28 04:46:30.931000262 +0000 UTC,241159000,16,29,373933.2,2987.53,36.41752833333333,27.387726666666666,2025-12-28 04:44:25.766305788 +0000 UTC,37.941003333333335,23.624413333333333,2025-12-28 04:46:30.931000262 +0000 UTC,True,"https://www.google.com/maps?q=37.941003333333335,23.624413333333333",21,False
2025-12-28 04:48:28.379393104 +0000 UTC,241159000,29,26,401218.5,3416.13,37.941003333333335,23.624413333333333,2025-12-28 04:46:30.931000262 +0000 UTC,36.62679,27.848513333333337,2025-12-28 04:48:28.379393104 +0000 UTC,True,"https://www.google.com/maps?q=36.62679,27.848513333333337",20,False
