cluster_id,first_time_utc,last_time_utc,event_count,distinct_mmsi,origin_center_lat,origin_center_lon,dest_center_lat,dest_center_lon
1,2025-12-28T03:48:32.562917+00:00,2025-12-31T00:45:14.007037+00:00,1068,1,48.387689,-4.498471,59.441749,24.767481
2,2025-12-28T03:49:05.532088+00:00,2025-12-28T03:50:30.065380+00:00,2,1,37.941003,23.624413,36.641168,27.869627
3,2025-12-28T03:53:36.597354+00:00,2025-12-28T03:54:56.375686+00:00,2,1,47.136268,-2.423179,47.112083,-2.725443
4,2025-12-28T03:57:19.089780+00:00,2025-12-30T17:50:24.596720+00:00,12,4,44.480262,37.681347,44.625747,37.804041
5,2025-12-28T03:58:02.129721+00:00,2025-12-28T07:40:07.430373+00:00,3,1,37.941003,23.624413,36.629913,27.154022
6,2025-12-28T04:00:49.318963+00:00,2025-12-28T04:03:56.303284+00:00,2,1,47.135930,-2.422786,50.463163,-6.123837
7,2025-12-28T04:00:58.566946+00:00,2025-12-28T04:02:32.272342+00:00,2,1,51.342177,3.212826,51.486433,1.199860
8,2025-12-28T04:03:28.188929+00:00,2025-12-30T18:30:00.109169+00:00,3,3,45.075477,37.943952,44.261796,37.848226
9,2025-12-28T04:05:03.636421+00:00,2025-12-30T18:12:41.621954+00:00,55,11,44.620654,37.751687,44.260574,37.847835
10,2025-12-28T04:08:04.455401+00:00,2025-12-28T04:09:44.699702+00:00,2,1,51.281857,4.380698,55.401675,14.557517
11,2025-12-28T04:10:20.353581+00:00,2025-12-30T17:30:44.741421+00:00,5,3,44.504503,37.606346,44.704665,37.848766
12,2025-12-28T04:10:51.611701+00:00,2025-12-30T18:29:34.897335+00:00,11,1,37.940826,23.624334,36.447135,28.237002
13,2025-12-28T04:14:23.264828+00:00,2025-12-30T11:02:20.043886+00:00,4,1,37.941003,23.624414,36.933718,27.043027
14,2025-12-28T04:21:05.730731+00:00,2025-12-28T04:21:48.033779+00:00,2,1,47.136108,-2.422974,50.739563,-7.510657
15,2025-12-28T04:26:11.556658+00:00,2025-12-28T04:26:32.032140+00:00,2,1,51.342177,3.212821,51.476490,1.417533
16,2025-12-28T04:30:07.912335+00:00,2025-12-28T04:31:30.838316+00:00,2,1,37.941003,23.624422,37.551688,24.112093
17,2025-12-28T04:33:31.631336+00:00,2025-12-28T04:37:01.389797+00:00,2,1,37.803878,23.667970,36.925620,27.070718
18,2025-12-28T04:37:21.881313+00:00,2025-12-30T18:09:01.652655+00:00,35,8,44.599691,37.808377,44.503305,37.604832
19,2025-12-28T04:37:36.752422+00:00,2025-12-28T04:38:46.539721+00:00,2,1,59.420850,5.248283,58.383167,-0.713883
20,2025-12-28T04:39:08.257987+00:00,2025-12-30T18:35:35.404664+00:00,14,1,37.921414,23.630643,36.624637,27.845831
21,2025-12-28T04:44:25.766305+00:00,2025-12-30T14:06:29.537194+00:00,9,1,37.941003,23.624417,36.417977,27.388338
22,2025-12-28T05:00:15.638207+00:00,2025-12-28T05:01:38.570012+00:00,2,1,35.930283,14.645617,34.283067,28.453750
23,2025-12-28T05:03:23.340026+00:00,2025-12-28T05:10:31.696476+00:00,2,1,37.941003,23.624413,36.300013,28.875358
24,2025-12-28T05:05:17.360944+00:00,2025-12-28T05:06:12.592796+00:00,2,1,54.367377,10.132751,53.541840,9.903190
25,2025-12-28T05:05:41.679033+00:00,2025-12-30T22:44:36.738318+00:00,8,2,54.876527,11.017117,54.934903,10.834014
26,2025-12-28T05:14:48.577976+00:00,2025-12-28T05:15:55.054753+00:00,2,1,34.709710,33.324872,24.048133,37.722600
27,2025-12-28T05:22:02.293705+00:00,2025-12-30T10:40:10.631052+00:00,3,1,37.941003,23.624413,37.291516,26.753488
28,2025-12-28T05:22:29.530560+00:00,2025-12-28T05:24:37.440422+00:00,2,1,29.845930,-93.968477,24.278617,-87.358035
29,2025-12-28T05:24:50.914446+00:00,2025-12-28T12:31:58.195608+00:00,4,1,58.199042,11.241363,53.412433,14.590317
30,2025-12-28T05:25:11.980696+00:00,2025-12-30T13:57:50.060192+00:00,4,1,47.119375,-2.429393,51.833683,-8.326775
31,2025-12-28T05:29:46.310258+00:00,2025-12-28T09:49:01.099601+00:00,9,1,37.941005,23.624414,36.949081,26.990105
32,2025-12-28T05:36:28.885516+00:00,2025-12-28T05:37:00.794540+00:00,2,1,43.238267,-79.275878,42.167872,-83.134440
33,2025-12-28T05:39:30.756378+00:00,2025-12-28T15:37:30.442113+00:00,3,1,51.905964,4.340037,51.893814,4.416667
34,2025-12-28T05:41:30.390817+00:00,2025-12-28T05:44:47.940310+00:00,2,1,51.274433,3.844650,55.226933,3.462733
35,2025-12-28T05:41:35.374488+00:00,2025-12-28T05:46:25.613386+00:00,2,1,53.345723,-6.218361,53.497242,-4.989358
36,2025-12-28T05:41:44.870705+00:00,2025-12-28T05:42:44.822692+00:00,2,1,52.411563,4.853203,-59.436552,-106.994908
37,2025-12-28T05:46:42.872605+00:00,2025-12-30T11:33:40.333534+00:00,6,1,37.941006,23.624419,37.294454,26.762607
38,2025-12-28T05:47:59.503500+00:00,2025-12-28T05:53:31.980043+00:00,2,1,37.283202,26.510233,36.899148,27.362913
39,2025-12-28T05:49:07.346298+00:00,2025-12-28T05:49:21.706155+00:00,2,1,55.651525,21.158683,54.338100,13.953582
40,2025-12-28T05:49:34.799641+00:00,2025-12-30T08:09:17.121159+00:00,6,1,53.345728,-6.218355,54.032016,-2.934486
41,2025-12-28T05:53:36.471202+00:00,2025-12-30T10:43:26.683711+00:00,5,1,37.238835,26.705189,37.941007,23.624414
42,2025-12-28T05:58:44.290467+00:00,2025-12-28T06:00:44.383621+00:00,2,1,51.281859,4.380695,55.083432,14.081307
43,2025-12-28T06:03:12.872810+00:00,2025-12-28T06:04:12.587761+00:00,2,1,51.043919,1.642969,51.198755,1.796062
44,2025-12-28T06:06:19.254879+00:00,2025-12-28T06:07:14.187868+00:00,2,1,51.169917,3.796683,51.090817,1.765350
45,2025-12-28T06:06:29.175428+00:00,2025-12-28T06:07:02.482961+00:00,2,1,54.401573,10.204942,54.307732,9.711403
46,2025-12-28T06:09:15.622554+00:00,2025-12-28T06:11:48.899359+00:00,2,1,51.274433,3.844650,57.967667,-5.918133
