received_at,ship_id,prev_pr_timestamp,pr_timestamp,distance_m,speed_mps,prev_lat,prev_lon,prev_time_utc,curr_lat,curr_lon,curr_time_utc,valid,map_url
2026-01-09 05:11:01.824390635 +0000 UTC,273153100,48,55,20726.3,304.84,44.79974333333333,37.83168,2026-01-09 05:09:53.833551772 +0000 UTC,44.893350000000005,38.059025,2026-01-09 05:11:01.824390635 +0000 UTC,True,"https://www.google.com/maps?q=44.893350000000005,38.059025"
2026-01-09 05:12:12.41528112 +0000 UTC,677041800,21,47,20647.7,163.53,44.766935,37.659650000000006,2026-01-09 05:10:06.153044638 +0000 UTC,44.92859,37.53077666666666,2026-01-09 05:12:12.41528112 +0000 UTC,True,"https://www.google.com/maps?q=44.92859,37.53077666666666"
2026-01-09 05:12:38.000849586 +0000 UTC,304585000,46,38,53574.8,366.87,55.32001666666667,21.264116666666666,2026-01-09 05:10:11.967445611 +0000 UTC,55.720555,20.791083333333333,2026-01-09 05:12:38.000849586 +0000 UTC,True,"https://www.google.com/maps?q=55.720555,20.791083333333333"
2026-01-09 05:13:07.634257041 +0000 UTC,299999999,2,7,2248746.1,35830.45,48.3877,-4.498433333333334,2026-01-09 05:12:04.873505374 +0000 UTC,59.441765000000004,24.767485,2026-01-09 05:13:07.634257041 +0000 UTC,True,"https://www.google.com/maps?q=59.441765000000004,24.767485"
2026-01-09 05:13:54.46358153 +0000 UTC,246798000,1,53,71017.8,414.68,51.88248333333333,4.424798333333333,2026-01-09 05:11:03.20340128 +0000 UTC,51.90309,3.3904199999999998,2026-01-09 05:13:54.46358153 +0000 UTC,True,"https://www.google.com/maps?q=51.90309,3.3904199999999998"
2026-01-09 05:14:03.488351126 +0000 UTC,246798000,53,1,71017.8,7869.21,51.90309,3.3904199999999998,2026-01-09 05:13:54.46358153 +0000 UTC,51.88248,4.424798333333333,2026-01-09 05:14:03.488351126 +0000 UTC,True,"https://www.google.com/maps?q=51.88248,4.424798333333333"
2026-01-09 05:14:50.327454148 +0000 UTC,352004001,21,26,32678.8,177.12,44.89952,38.065036666666664,2026-01-09 05:11:45.828963086 +0000 UTC,45.163419999999995,37.88203333333333,2026-01-09 05:14:50.327454148 +0000 UTC,True,"https://www.google.com/maps?q=45.163419999999995,37.88203333333333"
2026-01-09 05:14:57.82233455 +0000 UTC,273153100,4,52,33159.7,307.07,44.89508333333333,38.062365,2026-01-09 05:13:09.836380038 +0000 UTC,45.16308,37.877293333333334,2026-01-09 05:14:57.82233455 +0000 UTC,True,"https://www.google.com/maps?q=45.16308,37.877293333333334"
2026-01-09 05:15:33.070012539 +0000 UTC,677041800,47,5,33334.7,166.13,44.92859,37.53077666666666,2026-01-09 05:12:12.41528112 +0000 UTC,44.80067,37.14825166666667,2026-01-09 05:15:33.070012539 +0000 UTC,True,"https://www.google.com/maps?q=44.80067,37.14825166666667"
2026-01-09 05:17:44.310400201 +0000 UTC,273396190,16,19,40643.5,84.02,44.677863333333335,37.87894166666667,2026-01-09 05:09:40.595418062 +0000 UTC,44.64179333333333,38.39031,2026-01-09 05:17:44.310400201 +0000 UTC,True,"https://www.google.com/maps?q=44.64179333333333,38.39031"
2026-01-09 05:18:05.842077652 +0000 UTC,299999999,18,3,2248751.6,23606.46,59.441768333333336,24.767498333333332,2026-01-09 05:16:30.582048898 +0000 UTC,48.387616666666666,-4.4984,2026-01-09 05:18:05.842077652 +0000 UTC,True,"https://www.google.com/maps?q=48.387616666666666,-4.4984"
2026-01-09 05:18:36.428062373 +0000 UTC,246843000,23,33,419887.6,3228.29,55.68573333333333,12.630583333333334,2026-01-09 05:16:26.363109503 +0000 UTC,56.22723333333333,19.3089,2026-01-09 05:18:36.428062373 +0000 UTC,True,"https://www.google.com/maps?q=56.22723333333333,19.3089"
2026-01-09 05:19:08.43131988 +0000 UTC,299999999,3,7,2248752.6,35928.74,48.387616666666666,-4.4984,2026-01-09 05:18:05.842077652 +0000 UTC,59.44177833333333,24.76751,2026-01-09 05:19:08.43131988 +0000 UTC,True,"https://www.google.com/maps?q=59.44177833333333,24.76751"
2026-01-09 05:19:26.6253475 +0000 UTC,246843000,33,23,419887.6,8364.75,56.22723333333333,19.3089,2026-01-09 05:18:36.428062373 +0000 UTC,55.68573333333333,12.630583333333334,2026-01-09 05:19:26.6253475 +0000 UTC,True,"https://www.google.com/maps?q=55.68573333333333,12.630583333333334"
2026-01-09 05:19:49.823537339 +0000 UTC,205393190,39,49,58772.9,190.57,51.90108166666666,4.73268,2026-01-09 05:14:41.416862663 +0000 UTC,51.90851833333333,3.8760616666666667,2026-01-09 05:19:49.823537339 +0000 UTC,True,"https://www.google.com/maps?q=51.90851833333333,3.8760616666666667"
