cluster_id,first_time_utc,last_time_utc,event_count,distinct_mmsi,origin_center_lat,origin_center_lon,dest_center_lat,dest_center_lon
1,2026-01-06T05:29:35.607642+00:00,2026-01-09T03:24:20.021580+00:00,18,2,55.236346,12.983591,54.150714,12.101298
2,2026-01-06T05:30:27.537814+00:00,2026-01-06T05:31:28.792305+00:00,2,1,42.678093,30.465848,44.797008,33.233934
3,2026-01-06T05:30:41.094167+00:00,2026-01-09T03:54:06.142854+00:00,13,4,55.584727,20.467066,55.863963,20.645822
4,2026-01-06T05:31:27.607933+00:00,2026-01-09T05:07:07.451991+00:00,1266,1,59.441766,24.767506,48.387680,-4.498468
5,2026-01-06T05:35:52.413741+00:00,2026-01-06T05:36:52.414038+00:00,2,1,42.678092,30.465843,44.315312,33.375893
6,2026-01-06T05:38:31.794309+00:00,2026-01-06T05:38:35.312060+00:00,2,1,54.150823,12.101565,54.612018,12.263923
7,2026-01-06T05:39:52.493135+00:00,2026-01-06T06:17:18.757245+00:00,4,1,42.677402,30.461938,44.234743,33.776816
8,2026-01-06T05:42:50.803364+00:00,2026-01-07T08:56:28.417110+00:00,4,1,54.364263,18.651050,57.854942,22.654108
9,2026-01-06T05:43:07.374520+00:00,2026-01-06T05:44:27.801025+00:00,2,1,39.255711,-76.549824,40.685645,-74.153735
10,2026-01-06T05:44:59.337124+00:00,2026-01-09T03:13:58.546382+00:00,6,3,55.633386,20.549972,55.567887,20.601485
11,2026-01-06T05:49:03.131432+00:00,2026-01-06T06:08:04.758638+00:00,3,1,42.677634,30.463231,44.498852,33.419414
12,2026-01-06T05:51:12.404509+00:00,2026-01-06T05:53:17.230227+00:00,2,1,54.364258,18.651033,57.389667,20.585417
13,2026-01-06T05:53:06.490627+00:00,2026-01-06T05:54:26.040196+00:00,2,1,42.678083,30.465843,44.309749,33.377076
14,2026-01-06T05:56:36.428364+00:00,2026-01-06T05:56:36.428364+00:00,1,1,42.678137,30.465713,44.281545,33.795113
15,2026-01-06T05:57:52.709658+00:00,2026-01-06T07:01:54.093046+00:00,18,1,44.522951,33.574936,42.676849,30.458764
16,2026-01-06T06:02:06.136477+00:00,2026-01-07T20:41:25.576932+00:00,8,1,54.364281,18.651067,57.112071,23.888763
17,2026-01-06T06:02:31.523223+00:00,2026-01-06T06:02:36.006457+00:00,2,1,54.150823,12.101565,54.381817,12.137507
18,2026-01-06T06:10:35.912678+00:00,2026-01-06T06:10:35.912678+00:00,1,1,42.876838,31.365280,44.309815,33.377830
19,2026-01-06T06:13:22.646813+00:00,2026-01-06T20:33:28.348319+00:00,12,5,44.480010,33.444407,44.234784,33.781265
20,2026-01-06T06:14:16.402010+00:00,2026-01-06T06:14:43.852586+00:00,2,1,55.651530,21.158666,53.942150,10.862117
21,2026-01-06T06:17:55.319237+00:00,2026-01-06T20:00:29.692354+00:00,3,3,44.286447,33.585362,44.579791,33.406941
22,2026-01-06T06:22:56.575493+00:00,2026-01-08T06:09:37.562625+00:00,16,1,-27.377619,153.166512,-26.717382,153.238339
23,2026-01-06T06:23:15.023499+00:00,2026-01-06T21:17:50.913532+00:00,2,2,44.585579,33.382324,44.498191,33.428211
24,2026-01-06T06:27:55.480924+00:00,2026-01-07T00:03:44.475585+00:00,3,2,44.522846,33.510788,44.786298,33.325619
25,2026-01-06T06:33:10.560080+00:00,2026-01-06T17:13:31.600831+00:00,2,2,44.661229,33.421587,44.448752,33.663750
26,2026-01-06T06:36:41.099604+00:00,2026-01-06T22:58:20.241326+00:00,7,2,44.623097,33.643122,42.876440,31.364830
27,2026-01-06T06:43:29.605231+00:00,2026-01-06T06:43:50.343707+00:00,2,1,51.256690,2.094023,52.373417,4.910628
28,2026-01-06T06:43:39.272735+00:00,2026-01-07T17:43:00.674598+00:00,10,1,53.182639,5.789293,52.769578,5.106475
29,2026-01-06T06:45:36.213771+00:00,2026-01-06T06:48:09.459330+00:00,2,1,51.462800,3.691430,52.888902,3.898250
30,2026-01-06T06:46:37.276548+00:00,2026-01-06T06:47:17.093793+00:00,2,1,52.375949,4.897207,-36.753012,0.006900
31,2026-01-06T06:46:39.506568+00:00,2026-01-08T05:09:31.736578+00:00,27,1,54.364970,18.651416,57.099181,23.885001
32,2026-01-06T06:52:00.991248+00:00,2026-01-06T07:22:20.264328+00:00,2,1,52.343883,9.113997,52.427542,4.755698
33,2026-01-06T06:52:06.405374+00:00,2026-01-06T06:52:06.405374+00:00,1,1,13.699722,100.582658,13.658757,100.666375
34,2026-01-06T06:52:32.630480+00:00,2026-01-06T06:54:32.843857+00:00,2,1,42.263759,-83.105248,42.422455,-82.814492
35,2026-01-06T06:54:34.778264+00:00,2026-01-06T06:55:13.771364+00:00,2,1,51.499313,0.680249,51.449357,0.343105
36,2026-01-06T06:55:16.910192+00:00,2026-01-06T06:57:10.688995+00:00,2,1,51.462799,3.691430,53.005475,4.103857
37,2026-01-06T06:58:54.204150+00:00,2026-01-06T06:58:54.204150+00:00,1,1,-83.809485,0.006908,52.505397,5.420737
38,2026-01-06T06:59:14.104937+00:00,2026-01-06T07:00:13.705230+00:00,2,1,51.494694,0.722600,51.483878,1.290235
39,2026-01-06T07:00:20.395339+00:00,2026-01-06T07:01:10.362144+00:00,2,1,-26.639884,153.300072,-27.388923,153.158510
40,2026-01-06T07:01:54.773001+00:00,2026-01-07T06:08:44.314814+00:00,4,2,52.363143,4.781117,52.420813,4.850792
41,2026-01-06T07:06:34.565767+00:00,2026-01-06T15:06:54.146816+00:00,4,1,54.440996,18.873271,54.589633,14.403333
42,2026-01-06T07:07:30.551524+00:00,2026-01-09T04:40:55.330005+00:00,6,2,52.368882,4.919354,8.678213,0.006902
43,2026-01-06T07:11:03.522882+00:00,2026-01-06T07:12:03.622833+00:00,2,1,54.409175,18.661083,5.700000,0.300000
44,2026-01-06T07:13:16.102658+00:00,2026-01-06T07:15:09.762239+00:00,2,1,51.449383,3.634932,51.632327,3.328180
45,2026-01-06T07:15:52.248291+00:00,2026-01-07T17:34:52.593078+00:00,57,1,51.515267,0.117237,51.505011,-0.030087
46,2026-01-06T07:25:40.445836+00:00,2026-01-06T07:25:40.445836+00:00,1,1,59.658775,10.619988,53.743097,9.423295
47,2026-01-06T07:28:02.528690+00:00,2026-01-06T07:28:02.528690+00:00,1,1,52.361975,4.882572,52.591993,5.741465
48,2026-01-06T07:30:16.802893+00:00,2026-01-06T07:31:37.708323+00:00,2,1,51.175669,3.800440,51.265535,3.836425
49,2026-01-06T07:30:30.468827+00:00,2026-01-08T20:36:55.187671+00:00,6,1,-27.377612,153.166511,-26.839105,153.148792
50,2026-01-06T07:30:33.292996+00:00,2026-01-07T21:59:37.090191+00:00,6,2,52.397879,4.884613,52.464762,4.609113
51,2026-01-06T07:33:40.462509+00:00,2026-01-06T07:34:50.506009+00:00,2,1,51.895331,4.365945,-5.776327,0.006892
52,2026-01-06T07:35:33.005871+00:00,2026-01-06T11:21:29.344533+00:00,2,1,53.738048,8.801950,59.886437,10.756320
53,2026-01-06T07:36:34.429136+00:00,2026-01-06T07:37:20.218713+00:00,2,1,54.353908,11.994042,54.155717,12.099933
54,2026-01-06T07:46:10.553733+00:00,2026-01-06T07:46:33.699721+00:00,2,1,37.876771,23.639212,36.916610,26.996745
55,2026-01-06T07:49:13.135281+00:00,2026-01-06T07:49:13.135281+00:00,1,1,59.576570,135.712197,60.008580,23.959355
56,2026-01-06T07:49:24.498326+00:00,2026-01-06T07:49:33.697594+00:00,2,1,37.893372,23.628096,36.680355,27.840317
57,2026-01-06T07:55:36.580396+00:00,2026-01-07T20:21:40.600267+00:00,30,1,37.940498,23.630203,36.444896,28.236432
58,2026-01-06T07:58:32.995665+00:00,2026-01-08T19:19:41.599044+00:00,3,1,51.276974,3.998063,52.493895,5.076512
59,2026-01-06T08:00:53.413415+00:00,2026-01-06T08:01:41.655063+00:00,2,1,55.651535,21.158672,56.159983,14.816833
60,2026-01-06T08:03:13.714328+00:00,2026-01-06T08:03:43.815528+00:00,2,1,54.406967,12.164525,54.160283,12.103583
61,2026-01-06T08:06:33.221324+00:00,2026-01-06T08:06:50.955172+00:00,2,1,46.052485,-73.142315,46.675370,-71.580303
62,2026-01-06T08:09:16.978947+00:00,2026-01-06T08:12:09.799770+00:00,2,1,51.462805,3.691428,52.468467,3.466775
63,2026-01-06T08:17:05.638758+00:00,2026-01-06T08:18:05.645110+00:00,2,1,52.516656,5.639556,-83.798218,0.006912
64,2026-01-06T08:17:31.915624+00:00,2026-01-06T22:12:11.003442+00:00,4,1,51.462803,3.691430,52.527500,3.483635
65,2026-01-06T08:21:46.643157+00:00,2026-01-06T19:08:09.003218+00:00,4,1,51.953308,4.000817,56.103133,10.391292
66,2026-01-06T08:25:51.100123+00:00,2026-01-06T08:26:24.268642+00:00,2,1,51.688368,4.593659,52.379788,4.940832
67,2026-01-06T08:37:17.767970+00:00,2026-01-06T08:38:09.939510+00:00,2,1,51.706384,5.057086,53.183418,5.424178
68,2026-01-06T08:51:41.304484+00:00,2026-01-06T08:52:41.282684+00:00,2,1,52.370347,4.946416,64.603757,0.006902
69,2026-01-06T08:56:34.141968+00:00,2026-01-07T10:18:41.817474+00:00,3,1,37.941298,23.631633,36.858688,25.198592
70,2026-01-06T09:09:15.496177+00:00,2026-01-06T09:11:53.550687+00:00,2,1,54.440975,18.872867,54.876367,17.671400
71,2026-01-06T09:12:24.149591+00:00,2026-01-07T13:27:35.821189+00:00,4,1,37.941299,23.631633,36.537630,26.373441
72,2026-01-06T09:14:59.725464+00:00,2026-01-06T09:15:59.784678+00:00,2,1,52.360202,4.904712,-21.040105,0.006900
73,2026-01-06T09:15:21.099928+00:00,2026-01-08T08:24:48.876047+00:00,4,2,52.371538,4.888542,-54.233687,0.006900
74,2026-01-06T09:15:23.017015+00:00,2026-01-08T00:34:56.985518+00:00,7,1,37.941296,23.631633,36.948369,26.995279
75,2026-01-06T09:16:56.163529+00:00,2026-01-06T09:17:56.149487+00:00,2,1,52.397682,4.881363,-68.188558,0.006900
76,2026-01-06T09:18:18.030384+00:00,2026-01-06T09:19:21.084228+00:00,2,1,43.342750,30.928667,43.427417,30.598667
77,2026-01-06T09:19:39.025953+00:00,2026-01-06T09:20:39.024950+00:00,2,1,43.572167,31.078833,43.243927,30.779820
78,2026-01-06T09:21:39.021981+00:00,2026-01-06T09:21:39.021981+00:00,1,1,43.702833,31.080167,44.125333,30.806167
79,2026-01-06T09:22:35.751461+00:00,2026-01-06T09:23:13.834943+00:00,2,1,51.971520,5.979826,52.659870,5.601198
80,2026-01-06T09:22:39.023096+00:00,2026-01-06T09:22:39.023096+00:00,1,1,44.125333,30.806167,43.243928,30.779808
81,2026-01-06T09:26:31.169886+00:00,2026-01-06T09:30:07.721520+00:00,2,1,39.954513,0.014233,36.522373,-6.256625
82,2026-01-06T09:26:42.896799+00:00,2026-01-06T09:26:42.896799+00:00,1,1,43.243893,30.779828,45.491333,29.878500
83,2026-01-06T09:27:42.896678+00:00,2026-01-06T09:27:42.896678+00:00,1,1,45.491333,29.878500,45.327500,30.648333
84,2026-01-06T09:27:49.443244+00:00,2026-01-08T22:42:53.521570+00:00,23,12,44.912618,37.814487,44.894583,38.060582
85,2026-01-06T09:27:51.698294+00:00,2026-01-07T05:37:55.514531+00:00,5,1,37.941303,23.631633,36.622891,27.138705
86,2026-01-06T09:28:39.958796+00:00,2026-01-09T04:36:07.781947+00:00,153,10,44.690789,37.899280,44.515249,38.013293
87,2026-01-06T09:28:42.897797+00:00,2026-01-06T09:28:42.897797+00:00,1,1,45.327500,30.648333,45.556833,30.713667
88,2026-01-06T09:29:43.117035+00:00,2026-01-06T09:29:43.117035+00:00,1,1,45.556833,30.713667,44.622167,31.744000
89,2026-01-06T09:29:59.210051+00:00,2026-01-06T09:32:22.630002+00:00,2,1,36.765416,27.139618,37.276817,26.459413
90,2026-01-06T09:30:36.184878+00:00,2026-01-06T09:30:36.184878+00:00,1,1,52.621825,5.883595,50.789273,5.689487
91,2026-01-06T09:30:43.126440+00:00,2026-01-06T09:30:43.126440+00:00,1,1,44.622167,31.744000,44.813333,31.898333
92,2026-01-06T09:31:43.100088+00:00,2026-01-06T09:31:43.100088+00:00,1,1,44.813333,31.898333,43.243933,30.779810
93,2026-01-06T09:32:38.075007+00:00,2026-01-09T04:03:25.213549+00:00,151,18,44.842192,38.008337,45.165643,37.881204
94,2026-01-06T09:32:43.174819+00:00,2026-01-06T09:32:43.174819+00:00,1,1,43.243933,30.779810,44.314667,31.989000
95,2026-01-06T09:32:47.062983+00:00,2026-01-09T05:03:25.150773+00:00,288,13,44.692690,37.836633,44.642140,38.390233
96,2026-01-06T09:33:43.246589+00:00,2026-01-06T09:33:43.246589+00:00,1,1,44.314667,31.989000,43.961000,31.681167
97,2026-01-06T09:34:11.616829+00:00,2026-01-06T09:37:11.575238+00:00,2,1,52.495788,5.437520,-48.866542,0.000082
98,2026-01-06T09:34:43.100160+00:00,2026-01-06T09:34:43.100160+00:00,1,1,43.961000,31.681167,43.247667,30.784500
99,2026-01-06T09:35:11.263088+00:00,2026-01-08T00:39:09.846742+00:00,2,1,36.921357,27.211699,36.947013,26.999478
100,2026-01-06T09:37:36.275352+00:00,2026-01-06T09:39:10.332672+00:00,2,1,51.462798,3.691432,51.850725,3.358285
101,2026-01-06T09:37:42.298628+00:00,2026-01-08T03:04:44.755478+00:00,63,1,36.846246,27.144561,37.941296,23.631633
102,2026-01-06T09:41:23.048071+00:00,2026-01-06T09:42:31.170099+00:00,2,1,52.406410,4.886942,-57.694072,0.006900
103,2026-01-06T09:44:28.864732+00:00,2026-01-09T04:46:41.321172+00:00,108,16,44.739560,37.790050,44.895275,38.061591
104,2026-01-06T09:45:43.344542+00:00,2026-01-06T22:00:56.495515+00:00,3,2,45.159222,37.891153,44.877424,38.083476
105,2026-01-06T09:53:05.489833+00:00,2026-01-08T18:32:44.741293+00:00,4,3,45.182258,37.822450,44.732498,37.789755
106,2026-01-06T09:57:17.115866+00:00,2026-01-07T12:01:15.064631+00:00,4,2,52.347672,4.911903,-5.324013,0.006900
107,2026-01-06T09:57:22.490972+00:00,2026-01-06T10:00:22.292737+00:00,2,1,42.774663,31.366123,43.488502,31.379762
108,2026-01-06T09:58:33.621099+00:00,2026-01-06T09:58:33.621099+00:00,1,1,59.734520,28.433610,59.931462,28.164713
109,2026-01-06T10:00:57.326640+00:00,2026-01-09T04:53:14.123984+00:00,43,3,44.799601,37.695142,44.767156,37.660316
110,2026-01-06T10:06:18.055482+00:00,2026-01-06T10:06:18.055482+00:00,1,1,38.026810,-123.088102,53.409317,6.207342
111,2026-01-06T10:08:48.748194+00:00,2026-01-06T19:43:23.270104+00:00,6,1,37.941298,23.631636,36.733706,25.583204
112,2026-01-06T10:12:05.442450+00:00,2026-01-06T10:12:59.160476+00:00,2,1,35.752525,14.614683,35.652817,14.675467
113,2026-01-06T10:12:32.558696+00:00,2026-01-08T12:03:32.571616+00:00,7,1,54.364267,18.651019,57.157217,23.847467
114,2026-01-06T10:14:22.885252+00:00,2026-01-08T03:25:34.297763+00:00,3,2,54.825095,19.960992,54.902564,19.179301
115,2026-01-06T10:24:35.176995+00:00,2026-01-06T10:28:21.545323+00:00,2,1,54.364267,18.651017,56.983583,24.097400
116,2026-01-06T10:25:03.204274+00:00,2026-01-08T01:46:38.616914+00:00,4,3,54.974876,19.891810,54.872352,19.809108
117,2026-01-06T10:25:04.501950+00:00,2026-01-06T10:37:38.269440+00:00,2,1,51.902850,4.355033,51.862567,3.112250
118,2026-01-06T10:29:37.466479+00:00,2026-01-08T04:17:49.587022+00:00,8,1,51.931631,3.976385,51.317746,2.583675
119,2026-01-06T10:29:58.183780+00:00,2026-01-06T10:31:06.505574+00:00,2,1,51.069125,1.646333,51.069317,1.297603
120,2026-01-06T10:35:05.143200+00:00,2026-01-06T10:35:05.143200+00:00,1,1,57.497387,6.644498,57.563927,6.496625
