received_at,ship_id,prev_pr_timestamp,pr_timestamp,distance_m,speed_mps,prev_lat,prev_lon,prev_time_utc,curr_lat,curr_lon,curr_time_utc,valid,map_url
2025-12-09 18:16:26.276268934 +0000 UTC,244013030,7,26,32816.0,1772.87,51.84919,5.871141666666667,2025-12-09 18:16:07.766123842 +0000 UTC,51.816655,5.396475,2025-12-09 18:16:26.276268934 +0000 UTC,True,"https://www.google.com/maps?q=51.816655,5.396475"
2025-12-09 18:17:17.023851927 +0000 UTC,244013030,26,16,32816.3,646.66,51.816655,5.396475,2025-12-09 18:16:26.276268934 +0000 UTC,51.849195,5.871145,2025-12-09 18:17:17.023851927 +0000 UTC,True,"https://www.google.com/maps?q=51.849195,5.871145"
2025-12-09 18:19:28.70369129 +0000 UTC,244013030,26,28,32823.9,16759.63,51.84918833333334,5.871183333333334,2025-12-09 18:19:26.745182678 +0000 UTC,51.816645,5.396403333333334,2025-12-09 18:19:28.70369129 +0000 UTC,True,"https://www.google.com/maps?q=51.816645,5.396403333333334"
2025-12-09 18:20:14.444009543 +0000 UTC,210017000,22,14,243026.4,1422.90,53.52771166666666,9.92,2025-12-09 18:17:23.646972313 +0000 UTC,54.832570000000004,12.916573333333334,2025-12-09 18:20:14.444009543 +0000 UTC,True,"https://www.google.com/maps?q=54.832570000000004,12.916573333333334"
2025-12-09 18:20:26.751038365 +0000 UTC,244013030,28,26,32822.8,565.45,51.816645,5.396403333333334,2025-12-09 18:19:28.70369129 +0000 UTC,51.849183333333336,5.871168333333333,2025-12-09 18:20:26.751038365 +0000 UTC,True,"https://www.google.com/maps?q=51.849183333333336,5.871168333333333"
2025-12-09 18:21:22.15188556 +0000 UTC,299999999,51,18,2250114.9,78241.08,48.375295,-4.506106666666667,2025-12-09 18:20:53.393146422 +0000 UTC,59.44177833333333,24.767523333333333,2025-12-09 18:21:22.15188556 +0000 UTC,True,"https://www.google.com/maps?q=59.44177833333333,24.767523333333333"
2025-12-09 18:22:26.320422015 +0000 UTC,244013030,26,26,32819.2,550.89,51.84919166666667,5.871143333333333,2025-12-09 18:21:26.745155643 +0000 UTC,51.816628333333334,5.396434999999999,2025-12-09 18:22:26.320422015 +0000 UTC,True,"https://www.google.com/maps?q=51.816628333333334,5.396434999999999"
2025-12-09 18:22:27.206052455 +0000 UTC,244013030,26,27,32818.6,37056.74,51.816628333333334,5.396434999999999,2025-12-09 18:22:26.320422015 +0000 UTC,51.84918166666667,5.871135,2025-12-09 18:22:27.206052455 +0000 UTC,True,"https://www.google.com/maps?q=51.84918166666667,5.871135"
2025-12-09 18:23:52.222275516 +0000 UTC,299999999,18,50,2250114.9,14993.73,59.44177833333333,24.767523333333333,2025-12-09 18:21:22.15188556 +0000 UTC,48.375295,-4.506106666666667,2025-12-09 18:23:52.222275516 +0000 UTC,True,"https://www.google.com/maps?q=48.375295,-4.506106666666667"
2025-12-09 18:25:27.955950229 +0000 UTC,244013030,27,27,32823.7,45288.94,51.84916333333333,5.871165,2025-12-09 18:25:27.231188647 +0000 UTC,51.81666333333333,5.39638,2025-12-09 18:25:27.955950229 +0000 UTC,True,"https://www.google.com/maps?q=51.81666333333333,5.39638"
2025-12-09 18:26:27.220397997 +0000 UTC,244013030,27,27,32822.8,553.84,51.81666333333333,5.39638,2025-12-09 18:25:27.955950229 +0000 UTC,51.849158333333335,5.871153333333334,2025-12-09 18:26:27.220397997 +0000 UTC,True,"https://www.google.com/maps?q=51.849158333333335,5.871153333333334"
2025-12-09 18:27:17.254575201 +0000 UTC,299999999,51,18,2250113.4,93399.82,48.37529666666667,-4.506106666666667,2025-12-09 18:26:53.163379069 +0000 UTC,59.441768333333336,24.767505000000003,2025-12-09 18:27:17.254575201 +0000 UTC,True,"https://www.google.com/maps?q=59.441768333333336,24.767505000000003"
