received_at,ship_id,prev_pr_timestamp,pr_timestamp,distance_m,speed_mps,prev_lat,prev_lon,prev_time_utc,curr_lat,curr_lon,curr_time_utc,valid,map_url
2025-12-22 10:46:11.760573917 +0000 UTC,229074000,2,5,253058.3,32697.86,24.335988333333333,-81.72433500000001,2025-12-22 10:46:04.021280181 +0000 UTC,26.086311666666667,-80.11654666666666,2025-12-22 10:46:11.760573917 +0000 UTC,True,"https://www.google.com/maps?q=26.086311666666667,-80.11654666666666"
2025-12-22 10:47:23.73229864 +0000 UTC,209093000,15,20,67790.2,1023.37,51.04918166666666,2.5605083333333334,2025-12-22 10:46:17.49021536 +0000 UTC,51.05254,1.5907066666666667,2025-12-22 10:47:23.73229864 +0000 UTC,True,"https://www.google.com/maps?q=51.05254,1.5907066666666667"
2025-12-22 10:48:33.098702422 +0000 UTC,229074000,5,32,159601.2,1129.22,26.086311666666667,-80.11654666666666,2025-12-22 10:46:11.760573917 +0000 UTC,24.682758333333332,-80.44899666666667,2025-12-22 10:48:33.098702422 +0000 UTC,True,"https://www.google.com/maps?q=24.682758333333332,-80.44899666666667"
2025-12-22 10:48:43.346201393 +0000 UTC,299999999,18,41,2248749.2,222060.04,59.44176,24.76750666666667,2025-12-22 10:48:33.219439142 +0000 UTC,48.387683333333335,-4.49845,2025-12-22 10:48:43.346201393 +0000 UTC,True,"https://www.google.com/maps?q=48.387683333333335,-4.49845"
2025-12-22 10:49:07.733668088 +0000 UTC,229074000,32,6,159601.2,4608.09,24.682758333333332,-80.44899666666667,2025-12-22 10:48:33.098702422 +0000 UTC,26.086311666666667,-80.11654666666666,2025-12-22 10:49:07.733668088 +0000 UTC,True,"https://www.google.com/maps?q=26.086311666666667,-80.11654666666666"
2025-12-22 10:49:56.185811925 +0000 UTC,244013030,45,56,32822.4,3250.43,51.849185000000006,5.871173333333333,2025-12-22 10:49:46.087941711 +0000 UTC,51.81667,5.39641,2025-12-22 10:49:56.185811925 +0000 UTC,True,"https://www.google.com/maps?q=51.81667,5.39641"
2025-12-22 10:50:46.087159654 +0000 UTC,244013030,56,45,32822.6,657.75,51.81667,5.39641,2025-12-22 10:49:56.185811925 +0000 UTC,51.84917333333333,5.871178333333333,2025-12-22 10:50:46.087159654 +0000 UTC,True,"https://www.google.com/maps?q=51.84917333333333,5.871178333333333"
2025-12-22 10:51:09.976274572 +0000 UTC,299999999,41,9,2248749.4,15336.21,48.387683333333335,-4.49845,2025-12-22 10:48:43.346201393 +0000 UTC,59.44176,24.76751,2025-12-22 10:51:09.976274572 +0000 UTC,True,"https://www.google.com/maps?q=59.44176,24.76751"
2025-12-22 10:51:20.62583595 +0000 UTC,636093145,14,57,22355.9,202.78,1.2736583333333333,103.77414166666668,2025-12-22 10:49:30.378220769 +0000 UTC,1.21827,103.580825,2025-12-22 10:51:20.62583595 +0000 UTC,True,"https://www.google.com/maps?q=1.21827,103.580825"
2025-12-22 10:52:21.57783586 +0000 UTC,636093145,57,6,22357.6,366.81,1.21827,103.580825,2025-12-22 10:51:20.62583595 +0000 UTC,1.2736583333333333,103.77415833333333,2025-12-22 10:52:21.57783586 +0000 UTC,True,"https://www.google.com/maps?q=1.2736583333333333,103.77415833333333"
