received_at,ship_id,prev_pr_timestamp,pr_timestamp,distance_m,speed_mps,prev_lat,prev_lon,prev_time_utc,curr_lat,curr_lon,curr_time_utc,valid,map_url,spoofing_cluster_id,spoofing_confirmed
2026-01-03 04:08:20.229990644 +0000 UTC,244830098,55,20,53842.9,635.58,52.425195,4.744458333333333,2026-01-03 04:06:55.51474975 +0000 UTC,52.44475666666666,3.9508566666666667,2026-01-03 04:08:20.229990644 +0000 UTC,True,"https://www.google.com/maps?q=52.44475666666666,3.9508566666666667",1,False
2026-01-03 04:08:26.803654544 +0000 UTC,244710214,49,26,96125.4,1014.85,51.682495,5.971491666666666,2026-01-03 04:06:52.084696782 +0000 UTC,51.936605,4.635035,2026-01-03 04:08:26.803654544 +0000 UTC,True,"https://www.google.com/maps?q=51.936605,4.635035",2,False
2026-01-03 04:09:53.720133615 +0000 UTC,244710214,26,51,96124.9,1105.95,51.936605,4.635035,2026-01-03 04:08:26.803654544 +0000 UTC,51.68251333333333,5.971493333333333,2026-01-03 04:09:53.720133615 +0000 UTC,True,"https://www.google.com/maps?q=51.68251333333333,5.971493333333333",2,False
2026-01-03 04:09:55.277087274 +0000 UTC,244830098,20,55,53843.3,566.49,52.44475666666666,3.9508566666666667,2026-01-03 04:08:20.229990644 +0000 UTC,52.425198333333334,4.744463333333333,2026-01-03 04:09:55.277087274 +0000 UTC,True,"https://www.google.com/maps?q=52.425198333333334,4.744463333333333",1,False
2026-01-03 04:10:30.603017957 +0000 UTC,273259100,8,6,10329.5,43.33,54.87916333333333,20.040556666666664,2026-01-03 04:06:32.226685392 +0000 UTC,54.798498333333335,19.960551666666667,2026-01-03 04:10:30.603017957 +0000 UTC,True,"https://www.google.com/maps?q=54.798498333333335,19.960551666666667",3,False
2026-01-03 04:11:29.943179899 +0000 UTC,299999999,53,27,2248755.1,10426.85,59.441786666666665,24.76754,2026-01-03 04:07:54.273619067 +0000 UTC,48.38766666666667,-4.498483333333334,2026-01-03 04:11:29.943179899 +0000 UTC,True,"https://www.google.com/maps?q=48.38766666666667,-4.498483333333334",4,False
2026-01-03 04:12:33.630144188 +0000 UTC,273396190,10,9,20883.5,87.01,44.67660333333333,37.88059666666666,2026-01-03 04:08:33.6235792 +0000 UTC,44.5148,38.014505,2026-01-03 04:12:33.630144188 +0000 UTC,True,"https://www.google.com/maps?q=44.5148,38.014505",5,True
2026-01-03 04:13:29.393442567 +0000 UTC,273397190,9,5,20764.1,88.01,44.67612833333333,37.879511666666666,2026-01-03 04:09:33.464751215 +0000 UTC,44.51462333333333,38.01114833333334,2026-01-03 04:13:29.393442567 +0000 UTC,True,"https://www.google.com/maps?q=44.51462333333333,38.01114833333334",5,True
2026-01-03 04:13:33.776562011 +0000 UTC,244690402,24,33,67625.4,7628.99,51.954475,5.565851666666666,2026-01-03 04:13:24.912301395 +0000 UTC,52.400414999999995,4.891476666666667,2026-01-03 04:13:33.776562011 +0000 UTC,True,"https://www.google.com/maps?q=52.400414999999995,4.891476666666667",6,False
2026-01-03 04:13:46.644449906 +0000 UTC,257037600,35,44,3683719.2,28638.76,64.35173166666667,87.68966833333334,2026-01-03 04:11:38.017380434 +0000 UTC,63.0184,7.6896716666666665,2026-01-03 04:13:46.644449906 +0000 UTC,True,"https://www.google.com/maps?q=63.0184,7.6896716666666665",7,False
2026-01-03 04:13:54.270169864 +0000 UTC,299999999,27,53,2248752.5,15580.96,48.38766666666667,-4.498483333333334,2026-01-03 04:11:29.943179899 +0000 UTC,59.44177,24.76750333333333,2026-01-03 04:13:54.270169864 +0000 UTC,True,"https://www.google.com/maps?q=59.44177,24.76750333333333",4,False
2026-01-03 04:14:37.639272972 +0000 UTC,273396190,9,12,72468.8,584.38,44.5148,38.014505,2026-01-03 04:12:33.630144188 +0000 UTC,45.16004833333333,37.88522833333333,2026-01-03 04:14:37.639272972 +0000 UTC,True,"https://www.google.com/maps?q=45.16004833333333,37.88522833333333",8,False
2026-01-03 04:15:24.597650336 +0000 UTC,255806436,0,1,51743.1,425.25,54.904763333333335,19.186496666666667,2026-01-03 04:13:22.919603483 +0000 UTC,54.841458333333335,19.987716666666664,2026-01-03 04:15:24.597650336 +0000 UTC,True,"https://www.google.com/maps?q=54.841458333333335,19.987716666666664",9,False
2026-01-03 04:15:34.897961052 +0000 UTC,511011035,53,10,32783.7,127.55,44.51775,38.019275,2026-01-03 04:11:17.861994722 +0000 UTC,44.64171666666667,38.39483666666667,2026-01-03 04:15:34.897961052 +0000 UTC,True,"https://www.google.com/maps?q=44.64171666666667,38.39483666666667",10,True
2026-01-03 04:16:22.666878202 +0000 UTC,273251320,34,58,47550.7,107.07,44.79958,37.8329,2026-01-03 04:08:58.567292379 +0000 UTC,44.64170333333333,38.39222333333333,2026-01-03 04:16:22.666878202 +0000 UTC,True,"https://www.google.com/maps?q=44.64170333333333,38.39222333333333",10,True
2026-01-03 04:16:26.174353735 +0000 UTC,244690402,33,26,67625.0,392.26,52.400414999999995,4.891476666666667,2026-01-03 04:13:33.776562011 +0000 UTC,51.95447333333333,5.56584,2026-01-03 04:16:26.174353735 +0000 UTC,True,"https://www.google.com/maps?q=51.95447333333333,5.56584",6,False
2026-01-03 04:17:29.368013526 +0000 UTC,299999999,18,26,2248751.6,11628.07,59.44177,24.76750333333333,2026-01-03 04:14:15.978011867 +0000 UTC,48.38766666666667,-4.498466666666667,2026-01-03 04:17:29.368013526 +0000 UTC,True,"https://www.google.com/maps?q=48.38766666666667,-4.498466666666667",4,False
2026-01-03 04:19:53.194312686 +0000 UTC,299999999,26,52,2248749.7,15635.18,48.38766666666667,-4.498466666666667,2026-01-03 04:17:29.368013526 +0000 UTC,59.44175166666666,24.76748,2026-01-03 04:19:53.194312686 +0000 UTC,True,"https://www.google.com/maps?q=59.44175166666666,24.76748",4,False
2026-01-03 04:21:45.825752284 +0000 UTC,273396190,12,21,49112.0,114.70,45.16004833333333,37.88522833333333,2026-01-03 04:14:37.639272972 +0000 UTC,44.72532,37.774995,2026-01-03 04:21:45.825752284 +0000 UTC,True,"https://www.google.com/maps?q=44.72532,37.774995",8,False
2026-01-03 04:22:57.345635293 +0000 UTC,273397190,5,33,30132.0,53.05,44.51462333333333,38.01114833333334,2026-01-03 04:13:29.393442567 +0000 UTC,44.72722833333333,37.77508666666667,2026-01-03 04:22:57.345635293 +0000 UTC,True,"https://www.google.com/maps?q=44.72722833333333,37.77508666666667",5,True
2026-01-03 04:23:30.51601464 +0000 UTC,299999999,18,28,2248750.1,141696.62,59.44175166666666,24.76748,2026-01-03 04:23:14.645840979 +0000 UTC,48.38765,-4.49845,2026-01-03 04:23:30.51601464 +0000 UTC,True,"https://www.google.com/maps?q=48.38765,-4.49845",4,False
2026-01-03 04:23:51.508186478 +0000 UTC,255806466,50,51,1337766.4,2232.10,43.68118333333334,-8.877465,2026-01-03 04:13:52.176671696 +0000 UTC,51.91396666666667,4.250601666666666,2026-01-03 04:23:51.508186478 +0000 UTC,True,"https://www.google.com/maps?q=51.91396666666667,4.250601666666666",11,False
2026-01-03 04:25:32.194248746 +0000 UTC,255806466,51,30,1340539.7,13314.05,51.91396666666667,4.250601666666666,2026-01-03 04:23:51.508186478 +0000 UTC,43.674076666666664,-8.91793,2026-01-03 04:25:32.194248746 +0000 UTC,True,"https://www.google.com/maps?q=43.674076666666664,-8.91793",11,False
2026-01-03 04:25:52.303825515 +0000 UTC,299999999,28,51,2248749.9,15859.97,48.38765,-4.49845,2026-01-03 04:23:30.51601464 +0000 UTC,59.44175,24.767478333333333,2026-01-03 04:25:52.303825515 +0000 UTC,True,"https://www.google.com/maps?q=59.44175,24.767478333333333",4,False
2026-01-03 04:28:10.597448206 +0000 UTC,255806436,27,11,69654.2,139.38,54.84362333333333,19.960105,2026-01-03 04:19:50.865264298 +0000 UTC,54.65387666666666,18.925746666666665,2026-01-03 04:28:10.597448206 +0000 UTC,True,"https://www.google.com/maps?q=54.65387666666666,18.925746666666665",12,False
2026-01-03 04:29:06.784731095 +0000 UTC,241087000,56,5,209494.0,22917.55,37.94696,23.640291666666666,2026-01-03 04:28:57.643527805 +0000 UTC,36.69997,25.416376666666668,2026-01-03 04:29:06.784731095 +0000 UTC,True,"https://www.google.com/maps?q=36.69997,25.416376666666668",13,False
2026-01-03 04:29:27.142111187 +0000 UTC,273396190,21,3,23154.8,57.70,44.71118833333333,37.88521166666667,2026-01-03 04:22:45.826259548 +0000 UTC,44.523651666666666,38.012368333333335,2026-01-03 04:29:27.142111187 +0000 UTC,True,"https://www.google.com/maps?q=44.523651666666666,38.012368333333335",14,True
2026-01-03 04:29:29.34655344 +0000 UTC,299999999,18,26,2248750.4,208065.93,59.44175,24.767478333333333,2026-01-03 04:29:18.53867906 +0000 UTC,48.38766666666667,-4.498483333333334,2026-01-03 04:29:29.34655344 +0000 UTC,True,"https://www.google.com/maps?q=48.38766666666667,-4.498483333333334",4,False
2026-01-03 04:29:57.870841186 +0000 UTC,241087000,5,56,209494.0,4100.80,36.69997,25.416376666666668,2026-01-03 04:29:06.784731095 +0000 UTC,37.94696,23.640291666666666,2026-01-03 04:29:57.870841186 +0000 UTC,True,"https://www.google.com/maps?q=37.94696,23.640291666666666",13,False
