cluster_id,first_time_utc,last_time_utc,event_count,distinct_mmsi,origin_center_lat,origin_center_lon,dest_center_lat,dest_center_lon
1,2026-01-03T04:08:20.229990+00:00,2026-01-03T04:09:55.277087+00:00,2,1,52.425197,4.744461,52.444757,3.950857
2,2026-01-03T04:08:26.803654+00:00,2026-01-03T04:09:53.720133+00:00,2,1,51.682504,5.971493,51.936605,4.635035
3,2026-01-03T04:10:30.603017+00:00,2026-01-04T03:41:01.107276+00:00,3,1,54.820831,19.918412,54.798483,19.957243
4,2026-01-03T04:11:29.943179+00:00,2026-01-06T05:27:00.769583+00:00,1222,1,59.441787,24.767528,48.387684,-4.498468
5,2026-01-03T04:12:33.630144+00:00,2026-01-05T17:16:04.377724+00:00,148,9,44.684370,37.877220,44.515021,38.012783
6,2026-01-03T04:13:33.776562+00:00,2026-01-03T04:16:26.174353+00:00,2,1,51.954474,5.565846,52.400415,4.891477
7,2026-01-03T04:13:46.644449+00:00,2026-01-06T02:45:26.039422+00:00,14,1,64.351734,87.689671,63.018402,7.689670
8,2026-01-03T04:14:37.639272+00:00,2026-01-03T04:21:45.825752+00:00,2,1,44.620060,37.894750,45.160048,37.885228
9,2026-01-03T04:15:24.597650+00:00,2026-01-03T04:15:24.597650+00:00,1,1,54.904763,19.186497,54.841458,19.987717
10,2026-01-03T04:15:34.897961+00:00,2026-01-05T05:08:42.737253+00:00,152,11,44.694721,37.866213,44.642024,38.390412
11,2026-01-03T04:23:51.508186+00:00,2026-01-03T04:25:32.194248+00:00,2,1,43.677630,-8.897697,51.913967,4.250602
12,2026-01-03T04:28:10.597448+00:00,2026-01-03T04:28:10.597448+00:00,1,1,54.843623,19.960105,54.653877,18.925747
13,2026-01-03T04:29:06.784731+00:00,2026-01-03T04:29:57.870841+00:00,2,1,37.946960,23.640292,36.699970,25.416377
14,2026-01-03T04:29:27.142111+00:00,2026-01-04T14:38:23.669173+00:00,4,3,44.759794,37.831589,44.521265,38.011523
15,2026-01-03T04:39:24.200717+00:00,2026-01-03T04:40:17.813042+00:00,2,1,43.347777,5.336091,43.077470,5.047535
16,2026-01-03T04:43:18.651479+00:00,2026-01-04T18:31:17.514276+00:00,31,7,44.763347,37.813984,44.677377,37.881379
17,2026-01-03T04:47:14.514250+00:00,2026-01-05T16:47:56.719244+00:00,43,10,45.159374,37.882406,44.895835,38.062152
18,2026-01-03T04:55:42.634663+00:00,2026-01-05T06:22:27.149322+00:00,30,10,45.165174,37.880533,44.724851,37.799807
19,2026-01-03T04:56:32.058064+00:00,2026-01-03T04:58:25.477820+00:00,2,1,51.465100,3.712667,52.611117,3.510250
20,2026-01-03T04:59:00.395033+00:00,2026-01-03T17:22:10.552231+00:00,4,1,51.903551,4.352611,51.910569,4.581406
21,2026-01-03T05:02:09.121380+00:00,2026-01-05T17:02:10.569170+00:00,17,8,44.828673,37.887323,44.799901,37.834376
22,2026-01-03T05:02:22.264991+00:00,2026-01-03T05:05:53.481465+00:00,2,1,43.319903,5.358097,43.196400,5.177365
23,2026-01-03T05:07:34.489435+00:00,2026-01-05T17:36:59.575868+00:00,138,17,44.743504,37.811700,44.895140,38.061442
24,2026-01-03T05:07:51.317454+00:00,2026-01-03T05:17:39.628976+00:00,2,1,44.812172,37.917873,45.271273,37.576983
25,2026-01-03T05:09:07.021115+00:00,2026-01-05T04:16:10.363057+00:00,94,15,44.818789,37.936180,45.165915,37.882446
26,2026-01-03T05:09:57.850598+00:00,2026-01-03T05:09:57.850598+00:00,1,1,44.799098,37.839275,45.136605,37.841573
27,2026-01-03T05:11:32.763111+00:00,2026-01-05T05:30:08.089742+00:00,106,14,44.699521,37.809007,45.164795,37.880039
28,2026-01-03T05:12:09.617524+00:00,2026-01-03T05:13:11.539582+00:00,2,1,53.344992,-6.195918,53.320838,-5.872870
29,2026-01-03T05:17:12.089056+00:00,2026-01-03T05:19:22.243419+00:00,2,1,51.342174,3.212833,51.599355,2.215583
30,2026-01-03T05:26:56.679477+00:00,2026-01-03T05:41:42.605380+00:00,2,1,45.014853,37.953134,43.140630,38.171630
31,2026-01-03T05:28:28.292523+00:00,2026-01-03T05:30:06.440235+00:00,2,1,43.180563,5.336387,42.094348,7.889052
32,2026-01-03T05:32:05.350688+00:00,2026-01-03T05:32:05.350688+00:00,1,1,48.762307,-123.364232,48.897350,-123.278703
33,2026-01-03T06:08:29.118979+00:00,2026-01-03T06:10:14.534515+00:00,2,1,51.453872,3.720382,49.910327,-2.276043
34,2026-01-03T06:12:05.172600+00:00,2026-01-03T06:13:05.189650+00:00,2,1,51.652392,4.099441,16.350472,5.626052
35,2026-01-03T06:16:40.005755+00:00,2026-01-03T06:16:57.949822+00:00,2,1,52.373622,4.911281,52.697242,5.289772
36,2026-01-03T06:22:17.444795+00:00,2026-01-03T12:14:58.010511+00:00,4,1,-32.040286,115.749182,-25.079266,111.993842
37,2026-01-03T06:27:25.502141+00:00,2026-01-03T06:28:13.691038+00:00,2,1,44.686854,37.872884,42.067222,38.137978
38,2026-01-03T06:27:48.038468+00:00,2026-01-03T06:34:55.751194+00:00,2,1,44.829405,37.789852,45.007807,37.719425
39,2026-01-03T06:30:21.848971+00:00,2026-01-03T06:30:21.848971+00:00,1,1,44.699378,37.852960,44.517757,37.865118
40,2026-01-03T06:31:11.809798+00:00,2026-01-03T06:32:11.721012+00:00,2,1,60.097617,5.294294,60.389530,5.193953
41,2026-01-03T06:31:21.849170+00:00,2026-01-03T06:34:49.588821+00:00,2,1,44.571875,37.834598,41.967373,38.193672
42,2026-01-03T06:37:11.689599+00:00,2026-01-04T13:43:45.585776+00:00,59,14,44.678623,37.837215,44.504040,37.606432
43,2026-01-03T06:39:09.832083+00:00,2026-01-04T17:28:00.267568+00:00,54,10,44.617400,37.812022,44.503975,37.605513
44,2026-01-03T06:42:06.934971+00:00,2026-01-05T05:12:49.607133+00:00,101,15,44.689780,37.849053,44.260647,37.846456
45,2026-01-03T06:44:49.488126+00:00,2026-01-03T06:44:51.940653+00:00,2,1,51.881424,4.401507,47.322182,-6.721730
46,2026-01-03T06:55:14.273136+00:00,2026-01-03T06:55:14.273136+00:00,1,1,44.935753,37.796763,44.557440,37.971965
47,2026-01-03T06:59:19.906466+00:00,2026-01-05T04:57:49.181512+00:00,58,11,44.508084,37.622373,44.261634,37.849148
48,2026-01-03T06:59:24.916338+00:00,2026-01-03T06:59:53.457023+00:00,2,1,43.319908,5.358094,38.481660,9.982593
49,2026-01-03T07:00:04.731727+00:00,2026-01-04T21:25:30.379011+00:00,11,1,52.429062,4.723370,47.136365,-2.423200
50,2026-01-03T07:03:54.751846+00:00,2026-01-04T19:16:31.445659+00:00,26,1,52.454305,4.321651,52.425199,4.744469
51,2026-01-03T07:09:15.777076+00:00,2026-01-03T07:11:51.455455+00:00,2,1,51.881428,4.401486,42.713425,-9.781177
52,2026-01-03T07:18:06.152649+00:00,2026-01-03T07:18:53.252579+00:00,2,1,37.840011,23.457812,37.913688,23.056105
53,2026-01-03T07:18:39.694588+00:00,2026-01-05T04:37:21.322391+00:00,4,1,54.747998,19.774307,54.433780,19.903256
54,2026-01-03T07:19:11.559286+00:00,2026-01-05T14:12:42.672267+00:00,24,9,44.743236,37.768263,44.677464,38.343890
55,2026-01-03T07:19:35.104593+00:00,2026-01-03T07:22:46.850477+00:00,2,1,44.697496,37.853947,42.177905,38.006865
56,2026-01-03T07:23:32.819590+00:00,2026-01-03T07:29:15.868574+00:00,2,1,51.922092,3.734558,51.807433,2.623367
57,2026-01-03T07:26:57.625531+00:00,2026-01-03T07:28:22.518676+00:00,2,1,51.342179,3.212826,51.615773,1.917525
58,2026-01-03T07:29:33.194262+00:00,2026-01-03T07:30:54.980798+00:00,2,1,52.425194,4.744460,45.616488,-1.335690
59,2026-01-03T07:39:44.229678+00:00,2026-01-03T08:01:08.093120+00:00,2,1,44.268276,37.811629,44.710045,37.848467
60,2026-01-03T07:40:35.813024+00:00,2026-01-04T12:48:39.596788+00:00,8,4,44.260554,37.848373,44.696082,37.860250
61,2026-01-03T07:44:48.037809+00:00,2026-01-05T05:25:48.654970+00:00,3,3,44.721507,37.831211,44.632760,37.804066
62,2026-01-03T07:45:16.906033+00:00,2026-01-03T07:57:13.442617+00:00,2,1,53.409606,6.209490,-56.670502,78.494432
63,2026-01-03T07:46:53.001863+00:00,2026-01-03T07:46:53.001863+00:00,1,1,44.701785,37.845182,45.223765,37.896747
64,2026-01-03T07:53:40.427057+00:00,2026-01-03T07:56:12.455338+00:00,2,1,51.444691,3.584141,-59.616132,4.718407
65,2026-01-03T07:54:16.004983+00:00,2026-01-05T04:59:37.440590+00:00,6,1,54.867569,20.031885,54.434407,19.903547
66,2026-01-03T08:02:39.311408+00:00,2026-01-03T08:03:22.749796+00:00,2,1,54.398209,18.731255,54.344562,18.896975
67,2026-01-03T08:12:10.439302+00:00,2026-01-03T08:17:36.061743+00:00,2,1,52.409023,4.835540,52.512567,5.426007
68,2026-01-03T08:17:47.222404+00:00,2026-01-03T08:18:48.127168+00:00,2,1,51.077511,1.644751,51.077262,1.078622
69,2026-01-03T08:29:11.520650+00:00,2026-01-03T09:46:21.810806+00:00,4,1,51.342178,3.212834,51.568046,2.530623
70,2026-01-03T08:36:41.867365+00:00,2026-01-03T14:29:37.118532+00:00,2,1,44.969378,37.794022,54.714258,31.337640
71,2026-01-03T08:41:32.518258+00:00,2026-01-03T08:42:33.052638+00:00,2,1,36.919044,-76.340090,36.961027,-76.056887
72,2026-01-03T08:41:45.009305+00:00,2026-01-03T08:44:53.885881+00:00,2,1,43.319902,5.358098,43.284837,5.164955
73,2026-01-03T08:43:50.458028+00:00,2026-01-03T08:43:50.458028+00:00,1,1,50.929208,6.971903,51.450157,6.716260
74,2026-01-03T08:47:33.771257+00:00,2026-01-03T11:13:36.442231+00:00,39,1,51.323917,6.730942,50.929211,6.971919
75,2026-01-03T08:47:57.317777+00:00,2026-01-03T08:49:22.512863+00:00,2,1,51.342182,3.212830,51.694803,2.140185
76,2026-01-03T09:01:21.161397+00:00,2026-01-03T09:05:41.091250+00:00,2,1,53.346811,-6.192748,53.343688,-6.015885
77,2026-01-03T09:06:51.576004+00:00,2026-01-03T09:07:51.587440+00:00,2,1,51.893755,4.416685,51.887823,4.061668
78,2026-01-03T09:11:06.462990+00:00,2026-01-04T10:14:49.748654+00:00,5,2,51.913012,4.248730,51.883489,4.452902
79,2026-01-03T09:26:36.371350+00:00,2026-01-03T09:28:15.067663+00:00,2,1,51.453855,3.720383,51.399130,3.049265
80,2026-01-03T09:30:19.728022+00:00,2026-01-03T14:43:18.941679+00:00,8,1,48.383501,-4.464536,47.294172,-2.158250
81,2026-01-03T09:39:37.030573+00:00,2026-01-03T09:41:51.217134+00:00,2,1,51.881416,4.401508,51.474720,0.453783
82,2026-01-03T09:41:29.015164+00:00,2026-01-03T09:58:39.925650+00:00,2,1,44.763053,37.743105,44.402732,38.198097
